#UNIQUE-ID	TYPES	COMMON-NAME
PWY-7589	Palmitoleate-Biosynthesis;	palmitoleate biosynthesis III (cyanobacteria);
PWY-8001	S-CONTAINING-SECONDARY-CMPD-SYN;	felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis;
PWY-5053	GIBBERELLIN-SYN; Super-Pathways;	superpathway of gibberellin GA<sub>12</sub> biosynthesis;
PWY-5706	S-CONTAINING-SECONDARY-CMPD-SYN;	alliin metabolism;
PWY-6176	S-CONTAINING-SECONDARY-CMPD-SYN; Super-Pathways;	superpathway of Allium flavor precursors;
PWY-7432	PHENYLALANINE-SYN;	L-phenylalanine biosynthesis III (cytosolic, plants);
PWY-7614	S-CONTAINING-SECONDARY-CMPD-SYN;	methiin metabolism;
PWY-8034	Antibiotic-Biosynthesis;	spectinabilin biosynthesis;
PWY-6282	Palmitoleate-Biosynthesis;	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate);
PWY-5389	S-CONTAINING-SECONDARY-CMPD-SYN;	3-methylthiopropanoate biosynthesis;
PWY-5105	FLAVANONES-SYN;	hesperitin glycoside biosynthesis;
PWY-5708	S-CONTAINING-SECONDARY-CMPD-SYN;	ethiin metabolism;
PWY-6900	S-CONTAINING-SECONDARY-CMPD-SYN;	(<i>Z</i>)-butanethial-<i>S</i>-oxide biosynthesis;
PWY-6853	Ethylene-Biosynthesis;	ethylene biosynthesis II (microbes);
PWY-6628	PHENYLALANINE-SYN; Super-Pathways;	superpathway of L-phenylalanine biosynthesis;
PWY-6994	Pyrrolysine-Biosynthesis;	L-pyrrolysine biosynthesis;
PWY-8045	S-CONTAINING-SECONDARY-CMPD-SYN;	cylindrospermopsin biosynthesis;
PWY-8035	Antibiotic-Biosynthesis; POLYKETIDE-SYN;	streptovaricin biosynthesis;
PWY-5707	S-CONTAINING-SECONDARY-CMPD-SYN;	propanethial <i>S</i>-oxide biosynthesis;
PWY-5052	GIBBERELLIN-SYN; Super-Pathways;	superpathway of gibberellin biosynthesis;
PWY-7886	Macromolecule-Modification;	cell-surface glycoconjugate-linked phosphocholine biosynthesis;
PWY-5304	Sulfur-Oxidation; Super-Pathways;	superpathway of sulfur oxidation (<i>Acidianus ambivalens</i>);
PWY-6675	Sulfur-Oxidation;	sulfur oxidation IV (intracellular sulfur);
PWY-5279	Sulfite-Oxidation;	sulfite oxidation II;
PWY-8036	Antibiotic-Biosynthesis; POLYKETIDE-SYN;	chaxamycin biosynthesis;
PWY-5326	Sulfite-Oxidation;	sulfite oxidation IV;
P42-PWY	Reductive-TCA-Cycles;	incomplete reductive TCA cycle;
PWY-5717	Super-Pathways;	superpathway of formononetin derivative biosynthesis;
PWY-6602	FLAVANONES-SYN;	naringenin <i>C</i>-glucosylation;
PWY-5278	Sulfite-Oxidation;	sulfite oxidation III;
PWY-7328	Super-Pathways; UDP-Sugar-Biosynthesis;	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis;
PWY-5660	DITERPENOID-SYN;	taxol biosynthesis;
PWY-7662	Glycogen-Degradation;	glycogen degradation III (via anhydrofructose);
ETHYL-PWY	Ethylene-Biosynthesis;	ethylene biosynthesis I (plants);
P23-PWY	Reductive-TCA-Cycles;	reductive TCA cycle I;
PWY0-781	Super-Pathways;	aspartate superpathway;
PWY-8038	Antibiotic-Biosynthesis; POLYKETIDE-SYN;	naphthomycin biosynthesis;
PWY-5182	Super-Pathways; TOLUENE-DEG;	toluene degradation II (aerobic) (via 4-methylcatechol);
PWY-5034	GIBBERELLIN-SYN;	GA<sub>12</sub> biosynthesis;
PWY-5335	Sulfide-Oxidation; Super-Pathways;	superpathway of sulfide oxidation (<i>Starkeya novella</i>);
PWY-5392	Reductive-TCA-Cycles;	reductive TCA cycle II;
PWY-5360	Super-Pathways; Tetrathionate-Reduction;	superpathway of tetrathionate reduction (<i>Salmonella typhimurium</i>);
PWY-7680	DITERPENOID-SYN;	carnosate bioynthesis;
PWY-5991	Super-Pathways;	superpathway of linamarin and lotaustralin biosynthesis;
PWY-8039	Antibiotic-Biosynthesis;	mitomycin biosynthesis;
PWY-6505	Super-Pathways; TRYPTOPHAN-DEG;	L-tryptophan degradation XII (Geobacillus);
TCA-GLYOX-BYPASS	Super-Pathways; TCA-VARIANTS;	superpathway of glyoxylate bypass and TCA;
PWY-5094	FLAVANONES-SYN;	naringenin glycoside biosynthesis;
PWY-5870	Ubiquinone-Biosynthesis;	ubiquinol-8 biosynthesis (eukaryotic);
PWY-6266	Super-Pathways;	superpathway of flavones and derivatives biosynthesis;
PWY-6645	DITERPENOID-SYN;	labdane-type diterpenes biosynthesis;
PWY-6104	3-Chlorotoluene-Degradation;	3-chlorotoluene degradation II;
PWY-7124	Ethylene-Biosynthesis; Super-Pathways;	ethylene biosynthesis V (engineered);
PWY-6103	3-Chlorotoluene-Degradation;	3-chlorotoluene degradation I;
PWY-6544	Super-Pathways;	superpathway of C28 brassinosteroid biosynthesis;
2AMINOBENZDEG-PWY	2-Aminobenzoate-Degradation;	anthranilate degradation III (anaerobic);
PWY-8040	Antibiotic-Biosynthesis; POLYKETIDE-SYN;	ansatrienin biosynthesis;
PWY-5873	Ubiquinone-Biosynthesis;	ubiquinol-7 biosynthesis (eukaryotic);
PWY-6504	2-Aminobenzoate-Degradation;	anthranilate degradation IV (aerobic);
PWY4FS-5	Super-Pathways;	superpathway of phosphatidylcholine biosynthesis;
PWY-6079	2-Aminobenzoate-Degradation;	anthranilate degradation I (aerobic);
PWY-84	STILBENE-PHYTOALEXINS; STILBENE-SYN;	resveratrol biosynthesis;
PWY-6653	GIBBERELLIN-SYN;	<i>ent</i> -kaurene biosynthesis II;
PWY-6077	2-Aminobenzoate-Degradation;	anthranilate degradation II (aerobic);
THREOCAT-PWY	Super-Pathways; THREONINE-DEG;	superpathway of L-threonine metabolism;
PWY-7233	Ubiquinone-Biosynthesis;	ubiquinol-6 bypass biosynthesis (eukaryotic);
PWY-13	Super-Pathways; XANTHONE-SYN;	superpathway of tetrahydroxyxanthone biosynthesis;
PWY18C3-13	DITERPENOID-SYN;	<i>cis</i>-abienol biosynthesis;
PWY-6676	Sulfide-Oxidation; Super-Pathways;	superpathway of sulfide oxidation (phototrophic sulfur bacteria);
PWY18C3-22	Volatile-Benzenoids-Biosynthesis;	methylsalicylate biosynthesis;
PWY1A0-6325	Antibiotic-Biosynthesis;	actinorhodin biosynthesis;
PWY-5857	Ubiquinone-Biosynthesis;	ubiquinol-10 biosynthesis (prokaryotic);
UBISYN-PWY	Super-Pathways; Ubiquinone-Biosynthesis;	superpathway of ubiquinol-8 biosynthesis (prokaryotic);
GALACT-GLUCUROCAT-PWY	Super-Pathways;	superpathway of hexuronide and hexuronate degradation;
PWY-5118	FLAVANONES-SYN;	ponciretin biosynthesis;
PWY-4203	Volatile-Benzenoids-Biosynthesis;	volatile benzenoid biosynthesis I (ester formation);
PWY-5872	Ubiquinone-Biosynthesis;	ubiquinol-10 biosynthesis (eukaryotic);
MET-SAM-PWY	Super-Pathways;	superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis;
PWY-6887	DITERPENOID-SYN; Super-Pathways; TERPENOID-PHYTOALEXINS;	kauralexin biosynthesis;
PWY-6854	Ethylene-Biosynthesis;	ethylene biosynthesis III (microbes);
PWY-5178	Super-Pathways; TOLUENE-DEG;	toluene degradation IV (aerobic) (via catechol);
PWY18C3-23	Volatile-Benzenoids-Biosynthesis;	guaiacol biosynthesis;
PWY-7407	Aurachin-Biosynthesis;	aurachin A, B, C and D biosynthesis;
PWY-7230	Ubiquinone-Biosynthesis;	ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast);
PWY-5181	Super-Pathways; TOLUENE-DEG;	toluene degradation III (aerobic) (via <i>p</i>-cresol);
PWY-5036	GIBBERELLINS-BIOSYNTHESIS;	gibberellin biosynthesis II (early C-3 hydroxylation);
PWY-6338	Super-Pathways; Vanillin-Degradation;	superpathway of vanillin and vanillate degradation;
PWY3O-19	Ubiquinone-Biosynthesis;	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic);
PWY-6897	Super-Pathways; Thiamin-Salvage;	thiamine salvage II;
PWY18C3-7	DITERPENOID-SYN;	cembratrienediol biosynthesis;
PWY-7667	CYCLOPEPTIDES;	apicidin biosynthesis;
PWY-7341	Super-Pathways; TROPANE-ALKALOIDS;	superpathway of hyoscyamine and scopolamine biosynthesis;
IDNCAT-PWY	SUGAR-ACIDS-DEG;	L-idonate degradation;
PWY-7405	Aurachin-Biosynthesis;	aurachin RE biosynthesis;
PWY-5856	Ubiquinone-Biosynthesis;	ubiquinol-9 biosynthesis (prokaryotic);
PWY-8017	Super-Pathways; TRYPTOPHAN-DEG;	L-tryptophan degradation XIII (Stickland reaction);
PWY-6002	CYANOGENIC-GLUCOSIDE-DEG;	lotaustralin degradation;
PWY-5658	Mannosylglycerate-Biosynthesis;	mannosylglycerate biosynthesis II;
PWY-7668	CYCLOPEPTIDES;	apicidin F biosynthesis;
PWY-5332	Sulfur-reduction;	sulfur reduction I;
PWY-5184	Super-Pathways; TOLUENE-DEG;	toluene degradation VI (anaerobic);
PWY-7976	Sulfur-reduction;	sulfur reduction III;
PWY-5871	Ubiquinone-Biosynthesis;	ubiquinol-9 biosynthesis (eukaryotic);
PWY-6621	Salicylate-Biosynthesis; Super-Pathways;	salicylate glucosides biosynthesis I;
PWY-7071	DITERPENOID-SYN;	steviol glucoside biosynthesis (rebaudioside A biosynthesis);
PWY-5364	Sulfur-reduction;	sulfur reduction II (via polysulfide);
PWY-7235	Super-Pathways; Ubiquinone-Biosynthesis;	superpathway of ubiquinol-6 biosynthesis (eukaryotic);
PWY-6224	Salicylate-Degradation;	salicylate degradation II;
PWY-6708	Ubiquinone-Biosynthesis;	ubiquinol-8 biosynthesis (prokaryotic);
PWY-7091	CYANOGENIC-GLUCOSIDE-DEG;	linustatin bioactivation;
P165-PWY	Super-Pathways; Urate-Degradation;	superpathway of purines degradation in plants;
PWY-6183	Salicylate-Degradation;	salicylate degradation I;
PWY-7232	GIBBERELLINS-BIOSYNTHESIS;	gibberellin biosynthesis V;
PWY-6630	Super-Pathways; TYROSINE-SYN;	superpathway of L-tyrosine biosynthesis;
PWY-6640	Salicylate-Degradation;	salicylate degradation IV;
PWY-5855	Ubiquinone-Biosynthesis;	ubiquinol-7 biosynthesis (prokaryotic);
PRPP-PWY	Super-Pathways;	superpathway of histidine, purine, and pyrimidine biosynthesis;
PWY-7482	DITERPENOID-SYN;	cyclooctatin biosynthesis;
PWY-6636	Salicylate-Degradation;	salicylate degradation III;
PWY-7516	SUGAR-ACIDS-DEG;	L-lyxonate degradation;
PWY-5655	Super-Pathways; TRYPTOPHAN-DEG;	L-tryptophan degradation IX;
PWY-5976	CYANOGENIC-GLUCOSIDE-DEG;	dhurrin degradation;
PWY-5430	Benzoate-Degradation; Super-Pathways;	<i>meta</i> cleavage pathway of aromatic compounds;
PWY-5656	Mannosylglycerate-Biosynthesis;	mannosylglycerate biosynthesis I;
PWY-7715	Super-Pathways;	superpathway of trichothecene biosynthesis;
TRYPTOPHAN-DEGRADATION-1	Super-Pathways; TRYPTOPHAN-DEG;	L-tryptophan degradation III (eukaryotic);
FUC-RHAMCAT-PWY	Super-Pathways;	superpathway of fucose and rhamnose degradation;
PWY-5121	DITERPENOID-SYN; GGPP-Biosynthesis; Super-Pathways;	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP);
PWY-6538	CAFFEINE;	caffeine degradation III (bacteria, via demethylation);
PWY-735	FATTY-ACID-DERIVATIVE-SYN; Jasmonates-Biosynthesis;	jasmonic acid biosynthesis;
PWY-4821	Super-Pathways; UDP-Sugar-Biosynthesis;	UDP-&alpha;-D-xylose biosynthesis;
PWY-7317	Super-Pathways; dTDP-Sugar-Biosynthesis;	superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis;
PWY-7089	CYANOGENIC-GLUCOSIDE-DEG;	taxiphyllin bioactivation;
PWY-5035	GIBBERELLINS-BIOSYNTHESIS;	gibberellin biosynthesis III (early C-13 hydroxylation);
PWY-7438	Super-Pathways; dTDP-Sugar-Biosynthesis;	superpathway of dTDP-glucose-derived antibiotic building blocks biosynthesis;
PWY-7835	Sphingolipid-Biosynthesis; Super-Pathways;	superpathway of glycosphingolipids biosynthesis;
PWY-7572	DITERPENOID-SYN;	lolitrem B biosynthesis;
GALACTCAT-PWY	SUGAR-ACIDS-DEG;	D-galactonate degradation;
GLUCARGALACTSUPER-PWY	Super-Pathways;	superpathway of D-glucarate and D-galactarate degradation;
PWY-7093	CYANOGENIC-GLUCOSIDE-DEG;	vicianin bioactivation;
PWY-5180	Super-Pathways; TOLUENE-DEG;	toluene degradation I (aerobic) (<I>via</I> <i>o</I>-cresol);
PWY-283	Benzoate-Degradation;	benzoate degradation II (aerobic and anaerobic);
PWY-6399	Melatonin-Degradation;	melatonin degradation II;
PWY-6309	Super-Pathways; TRYPTOPHAN-DEG;	L-tryptophan degradation XI (mammalian, via kynurenine);
PWY-7332	Super-Pathways; UDP-Sugar-Biosynthesis;	superpathway of UDP-<I>N</i>-acetylglucosamine-derived O-antigen building blocks biosynthesis;
PWY-6304	DITERPENOID-SYN;	casbene biosynthesis;
PWY-6632	CAFFEINE; Super-Pathways;	caffeine degradation IV (bacteria, via demethylation and oxidation);
PWY-5407	FATTY-ACID-DERIVATIVE-SYN;	9-lipoxygenase and 9-allene oxide synthase pathway;
PWY0-845	Super-Pathways; Vitamin-B6-Biosynthesis;	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage;
PWY-3121	CYANOGENIC-GLUCOSIDE-DEG;	linamarin degradation;
ALL-CHORISMATE-PWY	Super-Pathways;	superpathway of chorismate metabolism;
PWY-7046	PHENYLPROPANOID-DERIVATIVE-DEG;	4-coumarate degradation (anaerobic);
PWY-5070	GIBBERELLINS-BIOSYNTHESIS;	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation);
PWY0-1298	Pyrimidine-Degradation; Super-Pathways;	superpathway of pyrimidine deoxyribonucleosides degradation;
PWY-5183	Super-Pathways; TOLUENE-DEG;	superpathway of aerobic toluene degradation;
PWY-7345	SUCROSE-DEG; Super-Pathways;	superpathway of anaerobic sucrose degradation;
PWY-7994	DITERPENOID-SYN;	dolabralexins biosynthesis;
PWY-7242	SUGAR-ACIDS-DEG;	D-fructuronate degradation;
PWY-7537	Super-Pathways;	superpathway of fumitremorgin biosynthesis;
SUCSYN-PWY	Sucrose-Biosynthesis; Super-Pathways;	sucrose biosynthesis I (from photosynthesis);
PWY-6011	CYANOGENIC-GLUCOSIDE-DEG;	amygdalin and prunasin degradation;
PWY-5084	Respiration;	2-oxoglutarate decarboxylation to succinyl-CoA;
PWY-8002	PHENYLPROPANOID-DERIVATIVE-DEG;	4-coumarate degradation (aerobic);
PWY-2503	Benzoate-Degradation;	benzoate degradation I (aerobic);
PWY-6398	Melatonin-Degradation;	melatonin degradation I;
PWY-6234	Super-Pathways;	superpathway of jasmonoyl-amino acid conjugates biosynthesis;
PWY-6629	Super-Pathways; TRYPTOPHAN-BIOSYNTHESIS;	superpathway of L-tryptophan biosynthesis;
PWY-6691	DITERPENOID-SYN;	plaunotol biosynthesis;
PWY-6553	CAFFEINE;	caffeine degradation II;
PWY-5433	FATTY-ACID-DERIVATIVE-SYN; Super-Pathways;	superpathway of lipoxygenase;
PWY-5294	Sulfide-Oxidation; Super-Pathways;	superpathway of sulfide oxidation (<i>Acidithiobacillus ferrooxidans</i>);
PWY-7169	Super-Pathways; XANTHONE-SYN;	hyperxanthone E biosynthesis;
PWY-7092	CYANOGENIC-GLUCOSIDE-DEG;	neolinustatin bioactivation;
PWY-5046	Respiration;	2-oxoisovalerate decarboxylation to isobutanoyl-CoA;
PWY-6667	PHENYLPROPANOID-DERIVATIVE-DEG;	resveratrol degradation;
PWY-5047	GIBBERELLINS-BIOSYNTHESIS;	gibberellin biosynthesis IV (<i>Gibberella fujikuroi</i>);
PWY-7277	Sphingolipid-Biosynthesis; Super-Pathways;	sphingolipid biosynthesis (mammals);
PWY-7622	Super-Pathways; UDP-Sugar-Biosynthesis;	UDP-&alpha;-D-galactofuranose biosynthesis;
PWY18C3-18	DITERPENOID-SYN;	labdenediol and sclareol biosynthesis;
PWY0-1314	Sugars-And-Polysaccharides-Degradation;	fructose degradation;
PWY-6142	Gluconeogenesis; Super-Pathways;	gluconeogenesis II (<i>Methanobacterium thermoautotrophicum</i>);
THRESYN-PWY	Super-Pathways; THREONINE-BIOSYNTHESIS;	superpathway of L-threonine biosynthesis;
PWY0-1306	SUGAR-ACIDS-DEG;	L-galactonate degradation;
PWY-6940	Eicosapentaenoate-Biosynthesis;	icosapentaenoate biosynthesis VI (fungi);
PWY-5665	Vanillin-Biosynthesis;	vanillin biosynthesis I;
PWY-1541	Super-Pathways; Taurine-degradation;	superpathway of taurine degradation;
PWY-6402	Melatonin-Degradation; Super-Pathways;	superpathway of melatonin degradation;
PWY-7214	PHENYLPROPANOID-DERIVATIVE-DEG; REACTIVE-OXYGEN-SPECIES-DEGRADATION;	baicalein degradation (hydrogen peroxide detoxification);
PWY-5179	Super-Pathways; TOLUENE-DEG;	toluene degradation V (aerobic) (<I>via</I> toluene-<I>cis</I>-diol);
PWY-7070	DITERPENOID-SYN;	steviol biosynthesis;
PWY-5257	SUGAR-ALCOHOLS-DEG; Sugars-And-Polysaccharides-Degradation; Super-Pathways;	superpathway of pentose and pentitol degradation;
GLUCONEO-PWY	Gluconeogenesis;	gluconeogenesis I;
PWY-5410	FATTY-ACID-DERIVATIVE-SYN;	traumatin and (<i>Z</i>)-3-hexen-1-yl acetate biosynthesis;
PWY-6552	CAFFEINE;	caffeine degradation I (main, plants);
PWY-7050	Eicosapentaenoate-Biosynthesis;	icosapentaenoate biosynthesis IV (bacteria);
PWY0-1355	ANAEROBIC-RESPIRATION; Electron-Transfer;	formate to trimethylamine <i>N</i>-oxide electron transfer;
PWY-6343	PHENYLPROPANOID-DERIVATIVE-DEG;	ferulate degradation;
PWY-621	SUCROSE-DEG;	sucrose degradation III (sucrose invertase);
SUCROSEUTIL2-PWY	SUCROSE-DEG;	sucrose degradation VII (sucrose 3-dehydrogenase);
PWY-7481	DITERPENOID-SYN; TERPENOID-PHYTOALEXINS;	oryzalide A biosynthesis;
PWY4FS-13	Sugars-And-Polysaccharides-Degradation;	extended VTC2 cycle;
PWY66-399	Gluconeogenesis;	gluconeogenesis III;
PWY-5384	SUCROSE-DEG;	sucrose degradation IV (sucrose phosphorylase);
DHGLUCONATE-PYR-CAT-PWY	SUGAR-ACIDS-DEG; Sugars-And-Polysaccharides-Degradation;	glucose degradation (oxidative);
PWY-7049	Eicosapentaenoate-Biosynthesis;	icosapentaenoate biosynthesis II (6-desaturase, mammals);
PWY66-373	SUCROSE-DEG;	sucrose degradation V (sucrose &alpha;-glucosidase);
PWY0-1576	ANAEROBIC-RESPIRATION; Electron-Transfer;	hydrogen to fumarate electron transfer;
PWY-7113	PHENYLPROPANOID-DERIVATIVE-DEG;	furcatin degradation;
PWY-6400	Melatonin-Degradation;	melatonin degradation III;
PWY-3801	SUCROSE-DEG;	sucrose degradation II (sucrose synthase);
SUCUTIL-PWY	SUCROSE-DEG;	sucrose degradation I (sucrose phosphotransferase);
PWY-5107	DITERPENOID-SYN;	phytol salvage pathway;
PWY-6901	Sugars-And-Polysaccharides-Degradation; Super-Pathways;	superpathway of glucose and xylose degradation;
PWY-6633	CAFFEINE;	caffeine degradation V (bacteria, via trimethylurate);
PWY-5408	FATTY-ACID-DERIVATIVE-SYN;	9-lipoxygenase and 9-hydroperoxide lyase pathway;
PWY-7724	Eicosapentaenoate-Biosynthesis;	icosapentaenoate biosynthesis III (8-desaturase, mammals);
P224-PWY	ANAEROBIC-RESPIRATION; Dissimilatory-Sulfate-Reduction;	dissimilatory sulfate reduction II (to thiosulfate);
PWY-8003	PHENYLPROPANOID-DERIVATIVE-DEG;	<i>trans</i>-caffeate degradation (aerobic);
PWY-5494	Pyruvate-Propanoate-Fermentation;	pyruvate fermentation to propanoate II (acrylate pathway);
PWY-5386	Methylglyoxal-Detoxification;	methylglyoxal degradation I;
PWY-7517	DITERPENOID-SYN;	brassicicene C biosynthesis;
PWY-7180	Sugars-And-Polysaccharides-Degradation;	2'-deoxy-&alpha;-D-ribose 1-phosphate degradation;
PWY-5170	s-Triazine-Degradation;	melamine degradation;
P108-PWY	Pyruvate-Propanoate-Fermentation;	pyruvate fermentation to propanoate I;
KETOGLUCONMET-PWY	SUGAR-ACIDS-DEG; Super-Pathways;	ketogluconate metabolism;
PWY-6958	Eicosapentaenoate-Biosynthesis;	icosapentaenoate biosynthesis I (lower eukaryotes);
PWY0-1581	ANAEROBIC-RESPIRATION; Electron-Transfer; Nitrate-Reduction;	nitrate reduction IX (dissimilatory);
PWY-5910	DITERPENOID-SYN; GGPP-Biosynthesis; Super-Pathways;	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate);
GLUCOSE1PMETAB-PWY	Sugars-And-Polysaccharides-Degradation;	glucose and glucose-1-phosphate degradation;
PWY-5726	s-Triazine-Degradation;	deethylsimazine degradation;
PWY-7602	Eicosapentaenoate-Biosynthesis;	icosapentaenoate biosynthesis V (8-desaturase, lower eukaryotes);
GLUTAMINEFUM-PWY	GLUTAMINE-DEG;	L-glutamine degradation II;
PWY-6289	Siderophores-Biosynthesis;	petrobactin biosynthesis;
PWY-5674	ANAEROBIC-RESPIRATION; Nitrate-Reduction;	nitrate reduction IV (dissimilatory);
PWY-7986	Siderophores-Biosynthesis;	anguibactin biosynthesis;
PWY-5458	Methylglyoxal-Detoxification;	methylglyoxal degradation V;
PWY-6376	Siderophores-Biosynthesis;	desferrioxamine B biosynthesis;
PWY-7721	DITERPENOID-SYN;	methyl phomopsenoate biosynthesis;
PWY-7562	Sugars-And-Polysaccharides-Degradation;	3,6-anhydro-&alpha;-L-galactopyranose degradation;
PWY-5171	s-Triazine-Degradation;	<i>N</i>-cyclopropylmelamine degradation;
PWY-7989	Siderophores-Biosynthesis;	acinetoferrin biosynthesis;
PWY-7566	SUGAR-ACIDS-DEG;	L-gulonate degradation;
GLUTAMINDEG-PWY	GLUTAMINE-DEG;	L-glutamine degradation I;
PWY-6381	Siderophores-Biosynthesis;	bisucaberin biosynthesis;
PWY0-1585	ANAEROBIC-RESPIRATION; Electron-Transfer;	formate to nitrite electron transfer;
PWY-8023	Siderophores-Biosynthesis;	salmochelin biosynthesis;
PWY-6409	Siderophores-Biosynthesis;	pyoverdine I biosynthesis;
PWY-6659	DITERPENOID-SYN;	fusicoccin A biosynthesis;
MANNCAT-PWY	Sugars-And-Polysaccharides-Degradation;	D-mannose degradation;
PWY-5727	Atrazine-Degradation;	atrazine degradation II;
ENTBACSYN-PWY	Siderophores-Biosynthesis; Super-Pathways;	enterobactin biosynthesis;
PWY-5668	Cardiolipin-Biosynthesis;	cardiolipin biosynthesis I;
PWY-7577	Siderophores-Biosynthesis;	ferrichrome biosynthesis;
PWY-6748	ANAEROBIC-RESPIRATION; Denitrification; Nitrate-Reduction;	nitrate reduction VII (denitrification);
PWY-5925	Siderophores-Biosynthesis;	hydroxylated mugineic acid phytosiderophore biosynthesis;
MGLDLCTANA-PWY	Methylglyoxal-Detoxification;	methylglyoxal degradation VI;
PWY-7984	Siderophores-Biosynthesis;	acinetobactin biosynthesis;
PWY18C3-14	DITERPENOID-SYN; Super-Pathways;	superpathway of glandular trichomes produced diterpenoids (tobacco);
PWY0-1309	Sugars-And-Polysaccharides-Degradation;	chitobiose degradation;
PWY-5724	Atrazine-Degradation; Super-Pathways;	superpathway of atrazine degradation;
PWY-6375	Siderophores-Biosynthesis;	desferrioxamine E biosynthesis;
PWY-6491	D-Galacturonate-Degradation;	D-galacturonate degradation III;
PWY-5269	Cardiolipin-Biosynthesis;	cardiolipin biosynthesis II;
PWY-6523	Denitrification; Methane-Oxidation;	nitrite-dependent anaerobic methane oxidation;
PWY-7988	Siderophores-Biosynthesis;	baumannoferrin biosynthesis;
PWY-7042	Visual-Cycle;	the visual cycle (insects);
PWY0-1336	ANAEROBIC-RESPIRATION; Electron-Transfer;	NADH to fumarate electron transfer;
PWY-5924	Limonene-Degradation;	limonene degradation II (L-limonene);
PWY-6379	Siderophores-Biosynthesis;	alcaligin biosynthesis;
PWY-8008	Siderophores-Biosynthesis;	staphyloferrin B biosynthesis;
PWY-7041	Visual-Cycle;	the visual cycle II (molluscs);
PWY-7065	DITERPENOID-SYN;	2&alpha;,7&beta;-dihydroxylation of taxusin;
PWY-3861	SUGAR-ALCOHOLS-DEG; Sugars-And-Polysaccharides-Degradation;	mannitol degradation II;
P141-PWY	Atrazine-Degradation;	atrazine degradation I (aerobic);
PWY-6408	Siderophores-Biosynthesis;	pyochelin biosynthesis;
PWY0-1545	Cardiolipin-Biosynthesis;	cardiolipin biosynthesis III;
AEROBACTINSYN-PWY	Siderophores-Biosynthesis;	aerobactin biosynthesis;
PWY-6861	Visual-Cycle;	the visual cycle I (vertebrates);
PWY-5427	Naphthalene-Degradation;	naphthalene degradation (aerobic);
PWY0-1352	ANAEROBIC-RESPIRATION; Electron-Transfer; Nitrate-Reduction;	nitrate reduction VIII (dissimilatory);
PWY-7571	Siderophores-Biosynthesis;	ferrichrome A biosynthesis;
PWY-5456	Methylglyoxal-Detoxification;	methylglyoxal degradation VII;
PWY-5912	Siderophores-Biosynthesis;	2'-deoxymugineic acid phytosiderophore biosynthesis;
PWY-7043	Visual-Cycle;	11-<i>cis</i>-3-hydroxyretinal biosynthesis;
PWY-7628	Nitroaromatic-Degradation;	2,4-dinitroanisole degradation;
PWY-7392	DITERPENOID-SYN; Super-Pathways;	taxadiene biosynthesis (engineered);
PWY4FS-12	Sugars-And-Polysaccharides-Degradation;	VTC2 cycle;
PWY-5731	Atrazine-Degradation;	atrazine degradation III;
PWY-7983	Siderophores-Biosynthesis;	pseudomonine biosynthesis;
AMMOXID-PWY	Ammonia-oxidation; CHEMOAUTOTROPHIC-ENERGY-METABOLISM;	ammonia oxidation I (aerobic);
PWY-7403	Nitroaromatic-Degradation;	tetramethylpyrazine degradation;
PWY-6486	D-Galacturonate-Degradation;	D-galacturonate degradation II;
PWY-7044	Nitroaromatic-Degradation;	5-nitroanthranilate degradation;
PWY-7509	Cardiolipin-Biosynthesis; PhosphatidylethanolamineBiosynthesis; Super-Pathways;	cardiolipin and phosphatidylethanolamine biosynthesis (<i>Xanthomonas</i>);
PWY-6374	Siderophores-Biosynthesis; Super-Pathways;	vibriobactin biosynthesis;
PWY-2381	Nitrobenzoate-Degradation;	4-nitrobenzoate degradation;
PWY-6984	Lipoate-Biosynthesis;	lipoate salvage II;
DISSULFRED-PWY	ANAEROBIC-RESPIRATION; Dissimilatory-Sulfate-Reduction;	dissimilatory sulfate reduction I (to hydrogen sufide));
PWY-5923	Limonene-Degradation;	limonene degradation I (D-limonene);
PWY-5648	2-Nirobenzoate-Degradation;	2-nitrobenzoate degradation II;
PWY-7987	Siderophores-Biosynthesis;	vanchrobactin biosynthesis;
PWY-5647	2-Nirobenzoate-Degradation; Super-Pathways;	2-nitrobenzoate degradation I;
PWY1F-823	LEUCOANTHOCYANIDIN-SYN;	leucopelargonidin and leucocyanidin biosynthesis;
PWY-6378	Siderophores-Biosynthesis;	putrebactin biosynthesis;
PWY-2981	DITERPENOID-SYN; TERPENOID-PHYTOALEXINS;	diterpene phytoalexins precursors biosynthesis;
PWY-6778	Sugars-And-Polysaccharides-Degradation;	laminaribiose degradation;
PWY-7990	Siderophores-Biosynthesis;	staphyloferrin A biosynthesis;
PWY-6007	DMNT-Biosynthesis;	(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis II;
