#Gene	Contig	Start	End	Gene_Length	Strand	Feature	Taxonomy
metaerg.pl|14524	NODE_113567_length_1624_cov_65.508	1	311	311	1	bac_23SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudoruegeria
metaerg.pl|14525	NODE_113567_length_1624_cov_65.508	447	558	112	1	bac_5SrRNA	unknown
metaerg.pl|14537	NODE_116278_length_1594_cov_27.848	4	897	894	-1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales
metaerg.pl|14541	NODE_118510_length_1570_cov_6.25875	872	974	103	-1	bac_5SrRNA	unknown
metaerg.pl|14542	NODE_118510_length_1570_cov_6.25875	1179	1570	392	-1	bac_23SrRNA	Bacteria;Bacteroidetes;Rhodothermia;Balneolales
metaerg.pl|14545	NODE_119462_length_1560_cov_41.3801	474	1560	1087	1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
metaerg.pl|14547	NODE_121837_length_1534_cov_156.974	1	900	900	-1	bac_16SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
metaerg.pl|14548	NODE_122685_length_1525_cov_74.7184	1	1525	1525	-1	bac_23SrRNA	Bacteria;Cyanobacteria;Oxyphotobacteria
metaerg.pl|14553	NODE_123925_length_1512_cov_6.64036	1408	1511	104	-1	bac_5SrRNA	unknown
metaerg.pl|14556	NODE_124769_length_1503_cov_16.0559	1065	1503	439	1	bac_23SrRNA	Bacteria;Bacteroidetes;Rhodothermia
metaerg.pl|14558	NODE_125549_length_1495_cov_160.515	738	1495	758	1	bac_16SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseinatronobacter
metaerg.pl|14560	NODE_126123_length_1490_cov_3.89199	1362	1470	109	-1	bac_5SrRNA	Bacteria;Actinobacteria;Actinobacteria
metaerg.pl|14561	NODE_128523_length_1466_cov_52.0971	5	92	88	1	bac_5SrRNA	unknown
metaerg.pl|14563	NODE_128872_length_1463_cov_3.51349	214	1279	1066	1	euk_28SrRNA	unknown
metaerg.pl|14564	NODE_129534_length_1456_cov_27.3226	522	1456	935	1	bac_16SrRNA	Bacteria;Gemmatimonadetes;Longimicrobia;Longimicrobiales
metaerg.pl|14566	NODE_129643_length_1455_cov_29.4036	1	499	499	1	bac_16SrRNA	Bacteria;Gemmatimonadetes;BD2-11 terrestrial group
metaerg.pl|14567	NODE_129643_length_1455_cov_29.4036	916	1455	540	1	bac_23SrRNA	Bacteria;Gemmatimonadetes
metaerg.pl|14569	NODE_130149_length_1451_cov_4.43553	1	1451	1451	1	bac_23SrRNA	unknown
metaerg.pl|14572	NODE_131362_length_1439_cov_158.835	2	1246	1245	1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family
metaerg.pl|14574	NODE_131362_length_1439_cov_158.835	1322	1433	112	1	bac_5SrRNA	unknown
metaerg.pl|14575	NODE_132139_length_1432_cov_43.1924	1	610	610	-1	bac_23SrRNA	Bacteria;Actinobacteria;Nitriliruptoria
metaerg.pl|14577	NODE_132139_length_1432_cov_43.1924	951	1432	482	-1	bac_16SrRNA	Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales;Nitriliruptoraceae;Egicoccus
metaerg.pl|14578	NODE_133320_length_1421_cov_81.4758	2	1421	1420	1	bac_23SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales
metaerg.pl|14583	NODE_137704_length_1382_cov_45.6609	528	1381	854	1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales
metaerg.pl|14584	NODE_138285_length_1377_cov_48.4334	1	1377	1377	1	bac_23SrRNA	Bacteria;Bacteroidetes;Bacteroidia
metaerg.pl|14587	NODE_138720_length_1374_cov_4.55876	1057	1374	318	1	bac_16SrRNA	Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast
metaerg.pl|14589	NODE_141210_length_1353_cov_74.5169	1	768	768	1	bac_16SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Nitrincola
metaerg.pl|14593	NODE_141827_length_1349_cov_3.27202	1	1129	1129	-1	bac_23SrRNA	Bacteria;Firmicutes;Clostridia
metaerg.pl|14594	NODE_142059_length_1347_cov_3.11223	531	1346	816	1	bac_23SrRNA	Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast
metaerg.pl|14595	NODE_142625_length_1342_cov_4.64957	292	407	116	1	bac_5SrRNA	unknown
metaerg.pl|14600	NODE_142968_length_1339_cov_14.8123	1161	1272	112	-1	bac_5SrRNA	unknown
metaerg.pl|14601	NODE_144089_length_1330_cov_7.94275	1	323	323	1	bac_23SrRNA	Bacteria;Actinobacteria;Actinobacteria;Micrococcales
metaerg.pl|14602	NODE_144089_length_1330_cov_7.94275	408	515	108	1	bac_5SrRNA	unknown
metaerg.pl|14608	NODE_144202_length_1329_cov_60.2331	1	1071	1071	-1	bac_16SrRNA	Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Ilumatobacteraceae
metaerg.pl|14605	NODE_144205_length_1329_cov_35.471	196	308	113	-1	bac_5SrRNA	unknown
metaerg.pl|14606	NODE_144205_length_1329_cov_35.471	388	1329	942	-1	bac_23SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae
metaerg.pl|14609	NODE_144914_length_1324_cov_3.42238	408	1317	910	1	euk_28SrRNA	unknown
metaerg.pl|14612	NODE_146240_length_1313_cov_37.1932	3	843	841	-1	bac_23SrRNA	Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales;Nitriliruptoraceae
metaerg.pl|14617	NODE_146616_length_1310_cov_15.6996	1	543	543	-1	bac_16SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;HOC36
metaerg.pl|14624	NODE_147891_length_1300_cov_18.9004	1	445	445	1	euk_28SrRNA	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta
metaerg.pl|14626	NODE_149053_length_1291_cov_108.698	6	119	114	-1	bac_5SrRNA	unknown
metaerg.pl|14627	NODE_149053_length_1291_cov_108.698	181	1291	1111	-1	bac_23SrRNA	Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales
metaerg.pl|14628	NODE_149587_length_1287_cov_24.8791	382	1286	905	1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales
metaerg.pl|14631	NODE_150096_length_1283_cov_88.4153	490	1283	794	1	bac_23SrRNA	Bacteria;Actinobacteria;Nitriliruptoria
metaerg.pl|14632	NODE_150733_length_1279_cov_3.28922	8	1201	1194	-1	euk_18SrRNA	unknown
metaerg.pl|14633	NODE_150922_length_1277_cov_17.2136	1	972	972	-1	bac_16SrRNA	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae
metaerg.pl|14634	NODE_151372_length_1274_cov_5.98687	6	113	108	1	bac_5SrRNA	Bacteria;Firmicutes;Clostridia
metaerg.pl|14639	NODE_151864_length_1270_cov_60.6963	1	666	666	1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacteraceae;Marinobacter
metaerg.pl|14641	NODE_151864_length_1270_cov_60.6963	822	935	114	1	bac_5SrRNA	unknown
metaerg.pl|14645	NODE_153102_length_1261_cov_38.1683	337	450	114	-1	bac_5SrRNA	unknown
metaerg.pl|14646	NODE_153102_length_1261_cov_38.1683	723	1261	539	-1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae
metaerg.pl|14648	NODE_154486_length_1251_cov_193.623	1	758	758	-1	bac_16SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseinatronobacter
metaerg.pl|14650	NODE_156682_length_1236_cov_34.2456	1	1235	1235	-1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Marinimicrobium
metaerg.pl|14651	NODE_156701_length_1236_cov_7.10584	3	1236	1234	1	bac_23SrRNA	unknown
metaerg.pl|14653	NODE_157242_length_1232_cov_6.03738	417	1232	816	1	bac_23SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria
metaerg.pl|14654	NODE_158688_length_1222_cov_9.02742	805	910	106	-1	bac_5SrRNA	unknown
metaerg.pl|14657	NODE_162197_length_1199_cov_14.9694	885	1000	116	-1	bac_5SrRNA	unknown
metaerg.pl|14658	NODE_162342_length_1198_cov_226.101	11	871	861	-1	bac_23SrRNA	Bacteria;Cyanobacteria;Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Nodosilinea PCC-7104
metaerg.pl|14661	NODE_162508_length_1197_cov_11.7644	84	191	108	-1	bac_5SrRNA	unknown
metaerg.pl|14662	NODE_162508_length_1197_cov_11.7644	312	1197	886	-1	bac_23SrRNA	Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales
metaerg.pl|14663	NODE_165029_length_1181_cov_85.8819	1	1181	1181	-1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales
metaerg.pl|14666	NODE_165053_length_1181_cov_9.87034	724	1178	455	1	bac_23SrRNA	Bacteria;Verrucomicrobia
metaerg.pl|14668	NODE_165489_length_1178_cov_29.4203	165	276	112	1	bac_5SrRNA	unknown
metaerg.pl|14671	NODE_165836_length_1176_cov_96.3363	1	1173	1173	1	bac_23SrRNA	Bacteria;Firmicutes;Clostridia;Clostridiales
metaerg.pl|14673	NODE_168093_length_1163_cov_3.09025	124	1162	1039	1	bac_23SrRNA	Bacteria;Planctomycetes;Planctomycetacia;Pirellulales
metaerg.pl|14674	NODE_169485_length_1154_cov_163.995	1	1151	1151	1	bac_23SrRNA	Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales
metaerg.pl|14675	NODE_169838_length_1152_cov_29.505	118	1151	1034	1	bac_23SrRNA	unknown
metaerg.pl|14677	NODE_170492_length_1148_cov_17.4593	612	1148	537	1	bac_23SrRNA	Bacteria;Gemmatimonadetes;Gemmatimonadetes
metaerg.pl|14679	NODE_171577_length_1142_cov_8.82245	390	1141	752	1	bac_23SrRNA	Bacteria;Bacteroidetes
metaerg.pl|14681	NODE_172608_length_1136_cov_51.6549	1	1135	1135	-1	bac_23SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria
metaerg.pl|14685	NODE_172985_length_1134_cov_18.8981	986	1082	97	1	euk_5_8SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
metaerg.pl|14686	NODE_173879_length_1129_cov_76.5857	1	1129	1129	1	bac_23SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae
metaerg.pl|14689	NODE_174946_length_1123_cov_33.1695	742	855	114	-1	bac_5SrRNA	unknown
metaerg.pl|14690	NODE_175516_length_1120_cov_70.8629	1	1120	1120	-1	bac_23SrRNA	Bacteria;Firmicutes;Clostridia;Clostridiales
metaerg.pl|14691	NODE_175716_length_1119_cov_5.32801	1	1119	1119	1	arc_23SrRNA	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halococcaceae;Halalkalicoccus
metaerg.pl|14693	NODE_177569_length_1109_cov_8.66414	3	375	373	-1	bac_16SrRNA	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales
metaerg.pl|14695	NODE_178333_length_1105_cov_8.52095	796	903	108	-1	bac_5SrRNA	Bacteria;Firmicutes;Clostridia
metaerg.pl|14697	NODE_178510_length_1104_cov_9.44328	609	720	112	-1	bac_5SrRNA	Bacteria;Firmicutes;Bacilli;Bacillales
metaerg.pl|14698	NODE_178971_length_1102_cov_3.25597	10	1102	1093	-1	bac_23SrRNA	Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae
metaerg.pl|14702	NODE_182017_length_1085_cov_71.2301	1	561	561	1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina
metaerg.pl|14703	NODE_182017_length_1085_cov_71.2301	756	869	114	1	bac_5SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria
metaerg.pl|14704	NODE_182251_length_1084_cov_4.95432	1	859	859	-1	bac_23SrRNA	Bacteria;Bacteroidetes;Bacteroidia
metaerg.pl|14706	NODE_183356_length_1078_cov_48.9296	1	1075	1075	-1	bac_16SrRNA	Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;Thermomicrobiaceae
metaerg.pl|14707	NODE_183358_length_1078_cov_42.3421	443	555	113	-1	bac_5SrRNA	unknown
metaerg.pl|14708	NODE_183358_length_1078_cov_42.3421	656	1078	423	-1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Methylophagaceae
metaerg.pl|14709	NODE_184717_length_1071_cov_58.9104	2	468	467	1	bac_23SrRNA	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Cecembia
metaerg.pl|14710	NODE_184717_length_1071_cov_58.9104	647	752	106	1	bac_5SrRNA	unknown
metaerg.pl|14711	NODE_184926_length_1070_cov_90.3941	1	928	928	1	bac_23SrRNA	Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales
metaerg.pl|14712	NODE_184926_length_1070_cov_90.3941	1022	1070	49	1	bac_5SrRNA	unknown
metaerg.pl|14713	NODE_185123_length_1069_cov_145.99	1	758	758	-1	bac_16SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobaculum
metaerg.pl|14714	NODE_187159_length_1059_cov_26.2888	269	1059	791	1	bac_16SrRNA	Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Microtrichaceae
metaerg.pl|14715	NODE_187997_length_1055_cov_7.92	1	382	382	1	euk_18SrRNA	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta
metaerg.pl|14717	NODE_187997_length_1055_cov_7.92	610	763	154	1	euk_5_8SrRNA	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta
metaerg.pl|14718	NODE_188434_length_1053_cov_4.15531	2	821	820	-1	euk_28SrRNA	unknown
metaerg.pl|14719	NODE_189823_length_1047_cov_2.51512	45	1047	1003	1	euk_18SrRNA	unknown
metaerg.pl|14720	NODE_189626_length_1047_cov_82.7077	1	518	518	1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae
metaerg.pl|14721	NODE_189626_length_1047_cov_82.7077	712	825	114	1	bac_5SrRNA	unknown
metaerg.pl|14722	NODE_189841_length_1046_cov_151.591	436	1046	611	1	bac_23SrRNA	Bacteria;Actinobacteria;Nitriliruptoria
metaerg.pl|14724	NODE_190293_length_1044_cov_8.41658	2	400	399	-1	euk_28SrRNA	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta
metaerg.pl|14725	NODE_190293_length_1044_cov_8.41658	614	767	154	-1	euk_5_8SrRNA	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta
metaerg.pl|14727	NODE_194034_length_1026_cov_115.229	1	943	943	1	bac_23SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Loktanella
metaerg.pl|14729	NODE_194262_length_1025_cov_48.1485	1	1025	1025	-1	bac_23SrRNA	Bacteria;Actinobacteria;Actinobacteria;Micrococcales
metaerg.pl|14732	NODE_195532_length_1020_cov_3.25596	70	1020	951	1	bac_23SrRNA	Bacteria;Bacteroidetes;Rhodothermia
metaerg.pl|14734	NODE_196946_length_1013_cov_31.6524	479	1013	535	1	bac_16SrRNA	Bacteria;Proteobacteria;Deltaproteobacteria
metaerg.pl|14740	NODE_196933_length_1013_cov_83.7777	1	975	975	-1	bac_16SrRNA	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales
metaerg.pl|14736	NODE_196955_length_1013_cov_16.4447	1	475	475	1	bac_16SrRNA	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales
metaerg.pl|14742	NODE_198278_length_1007_cov_163.507	355	467	113	-1	bac_5SrRNA	unknown
metaerg.pl|14743	NODE_198278_length_1007_cov_163.507	611	1006	396	-1	bac_23SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobaca
metaerg.pl|14745	NODE_199618_length_1001_cov_139.381	252	1001	750	1	bac_16SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Seohaeicola
metaerg.pl|14746	NODE_200751_length_996_cov_112.801	144	296	153	1	euk_5_8SrRNA	Eukaryota;Opisthokonta;Nucletmycea;Fungi
metaerg.pl|14747	NODE_200751_length_996_cov_112.801	545	966	422	1	euk_28SrRNA	Eukaryota;Archaeplastida
metaerg.pl|14748	NODE_201699_length_992_cov_39.5379	4	625	622	-1	bac_23SrRNA	Bacteria;Actinobacteria;Acidimicrobiia
metaerg.pl|14751	NODE_201695_length_992_cov_52.8282	514	991	478	1	bac_23SrRNA	Bacteria;Actinobacteria;Nitriliruptoria
metaerg.pl|14752	NODE_202178_length_990_cov_121.834	1	538	538	-1	bac_23SrRNA	Bacteria;Actinobacteria;Nitriliruptoria
metaerg.pl|14754	NODE_202829_length_988_cov_3.30225	8	404	397	-1	bac_23SrRNA	Bacteria;Proteobacteria
metaerg.pl|14755	NODE_202829_length_988_cov_3.30225	526	978	453	-1	bac_23SrRNA	unknown
metaerg.pl|14756	NODE_202964_length_987_cov_11.3122	2	987	986	-1	euk_28SrRNA	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta
metaerg.pl|14757	NODE_203193_length_986_cov_53.8657	340	985	646	1	bac_23SrRNA	Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Salisediminibacterium
metaerg.pl|14758	NODE_203442_length_985_cov_209.282	228	985	758	1	bac_16SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseinatronobacter
metaerg.pl|14759	NODE_204138_length_982_cov_55.6268	1	437	437	-1	bac_23SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria
metaerg.pl|14761	NODE_204827_length_979_cov_71.3896	35	131	97	-1	euk_5_8SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
metaerg.pl|14764	NODE_209208_length_962_cov_3.58214	264	376	113	1	bac_5SrRNA	unknown
metaerg.pl|14770	NODE_212261_length_950_cov_9.84134	1	464	464	-1	arc_23SrRNA	Archaea;Euryarchaeota;Halobacteria;Halobacteriales
metaerg.pl|14773	NODE_213889_length_944_cov_5.28796	132	944	813	1	bac_23SrRNA	Bacteria;Bacteroidetes
metaerg.pl|14776	NODE_214356_length_942_cov_100.601	175	942	768	-1	bac_16SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Nitrincola
metaerg.pl|14778	NODE_218110_length_928_cov_29.5899	284	927	644	1	bac_23SrRNA	Bacteria;Firmicutes;Bacilli;Bacillales
metaerg.pl|14779	NODE_218939_length_925_cov_7.11954	1	621	621	-1	bac_16SrRNA	Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;uncultured
metaerg.pl|14780	NODE_219451_length_923_cov_42.1175	80	921	842	1	bac_23SrRNA	Bacteria;Patescibacteria;Parcubacteria;OLB19
metaerg.pl|14782	NODE_222501_length_913_cov_2.61772	325	913	589	1	bac_23SrRNA	Bacteria;Actinobacteria;Acidimicrobiia
metaerg.pl|14785	NODE_223204_length_910_cov_5.9883	403	507	105	-1	bac_5SrRNA	unknown
metaerg.pl|14783	NODE_223163_length_910_cov_13.9977	1	315	315	-1	bac_16SrRNA	Bacteria;Bacteroidetes;Rhodothermia;Balneolales
metaerg.pl|14786	NODE_224247_length_906_cov_144.227	3	426	424	1	bac_16SrRNA	Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Salipaludibacillus
metaerg.pl|14789	NODE_224847_length_904_cov_49.1496	2	785	784	-1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales
metaerg.pl|14792	NODE_227809_length_894_cov_6.56734	352	894	543	1	bac_16SrRNA	Bacteria;Bacteroidetes;Rhodothermia;Balneolales;Balneolaceae
metaerg.pl|14793	NODE_228905_length_890_cov_60.188	1	339	339	-1	bac_16SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Wenzhouxiangella
metaerg.pl|14796	NODE_230112_length_886_cov_134.788	2	886	885	-1	bac_23SrRNA	Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales
metaerg.pl|14794	NODE_230111_length_886_cov_160.099	103	885	783	1	bac_16SrRNA	Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Alkalicoccus
metaerg.pl|14797	NODE_230779_length_884_cov_30.3667	557	884	328	1	bac_16SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Marinimicrobium
metaerg.pl|14800	NODE_231280_length_883_cov_2.77536	315	882	568	1	euk_18SrRNA	unknown
metaerg.pl|14798	NODE_231147_length_883_cov_4.23551	1	328	328	1	bac_23SrRNA	Bacteria;Proteobacteria
metaerg.pl|14799	NODE_231147_length_883_cov_4.23551	489	602	114	1	bac_5SrRNA	unknown
metaerg.pl|14801	NODE_233176_length_876_cov_82.6931	443	876	434	1	bac_16SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas
metaerg.pl|14804	NODE_233289_length_876_cov_3.74543	612	721	110	-1	bac_5SrRNA	unknown
metaerg.pl|14805	NODE_234123_length_873_cov_6.06112	435	873	439	-1	euk_28SrRNA	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya
metaerg.pl|14806	NODE_236224_length_866_cov_107.689	221	865	645	1	bac_23SrRNA	Bacteria;Firmicutes;Bacilli;Bacillales
metaerg.pl|14809	NODE_236238_length_866_cov_32.0173	609	706	98	1	euk_5_8SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
metaerg.pl|14811	NODE_236220_length_866_cov_236.932	2	866	865	-1	bac_23SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales
metaerg.pl|14807	NODE_236222_length_866_cov_125.572	4	858	855	-1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales
metaerg.pl|14814	NODE_237622_length_862_cov_3.34944	590	691	102	-1	bac_5SrRNA	unknown
metaerg.pl|14818	NODE_237775_length_861_cov_159.164	1	670	670	1	bac_23SrRNA	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alkalibacterium
metaerg.pl|14819	NODE_237775_length_861_cov_159.164	779	858	80	1	bac_5SrRNA	unknown
metaerg.pl|14820	NODE_237799_length_861_cov_22.5782	1	861	861	1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales
metaerg.pl|14823	NODE_239824_length_855_cov_4.4275	2	855	854	-1	bac_23SrRNA	Bacteria;Verrucomicrobia;Verrucomicrobiae
metaerg.pl|14822	NODE_239988_length_855_cov_2.7	4	852	849	-1	bac_23SrRNA	Bacteria;Planctomycetes;Planctomycetacia
metaerg.pl|14825	NODE_241372_length_850_cov_30.2742	2	497	496	-1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Marinimicrobium
metaerg.pl|14826	NODE_243053_length_845_cov_37.9354	9	845	837	-1	bac_23SrRNA	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Nafulsella
metaerg.pl|14829	NODE_246249_length_836_cov_8.6402	3	833	831	-1	arc_23SrRNA	Archaea;Euryarchaeota;Halobacteria;Halobacteriales
metaerg.pl|14830	NODE_247999_length_831_cov_4.58763	2	830	829	-1	bac_23SrRNA	Bacteria;Planctomycetes;Planctomycetacia;Pirellulales
metaerg.pl|14832	NODE_248315_length_830_cov_6.09419	387	830	444	1	bac_23SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales
metaerg.pl|14833	NODE_248258_length_830_cov_92.7252	57	165	109	-1	bac_5SrRNA	unknown
metaerg.pl|14834	NODE_248258_length_830_cov_92.7252	341	830	490	-1	bac_23SrRNA	Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales;Nitriliruptoraceae
metaerg.pl|14837	NODE_249302_length_827_cov_17.7487	2	404	403	-1	bac_16SrRNA	Bacteria;Proteobacteria;Deltaproteobacteria;Bradymonadales;Bradymonadaceae
metaerg.pl|14836	NODE_249286_length_827_cov_35.8886	720	825	106	-1	bac_5SrRNA	unknown
metaerg.pl|14839	NODE_249597_length_826_cov_63.0195	1	723	723	-1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales
metaerg.pl|14842	NODE_249933_length_825_cov_20.3753	510	818	309	1	bac_23SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales
metaerg.pl|14844	NODE_250645_length_823_cov_113.807	56	823	768	-1	bac_16SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Nitrincola
metaerg.pl|14845	NODE_250781_length_823_cov_4.02865	1	823	823	1	bac_23SrRNA	unknown
metaerg.pl|14849	NODE_254632_length_812_cov_116.44	1	811	811	-1	bac_23SrRNA	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales
metaerg.pl|14848	NODE_254667_length_812_cov_16.646	462	563	102	-1	bac_5SrRNA	unknown
metaerg.pl|14850	NODE_255343_length_810_cov_112.31	1	758	758	-1	bac_16SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Salinarimonas
metaerg.pl|14853	NODE_257196_length_805_cov_141.089	447	793	347	1	bac_23SrRNA	Bacteria;Proteobacteria
metaerg.pl|14854	NODE_257603_length_804_cov_6.71028	1	804	804	1	euk_28SrRNA	Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta
metaerg.pl|14857	NODE_258304_length_802_cov_30.7068	369	802	434	1	bac_16SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacteraceae;Marinobacter
metaerg.pl|14858	NODE_259444_length_799_cov_52.7903	1	799	799	1	bac_16SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
metaerg.pl|14859	NODE_261827_length_793_cov_50.2222	1	425	425	1	bac_23SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio
metaerg.pl|14861	NODE_261827_length_793_cov_50.2222	578	691	114	1	bac_5SrRNA	unknown
metaerg.pl|14865	NODE_262214_length_792_cov_79.7639	546	791	246	-1	bac_16SrRNA	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;uncultured
metaerg.pl|14866	NODE_262995_length_790_cov_37.0884	186	243	58	-1	euk_5_8SrRNA	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter
