demo|00008	3.5.2.9
demo|04515	3.1.4.46
demo|04518	3.6.4.12
demo|04521	7.6.2.10
demo|04523	3.6.4.12
demo|04526	6.3.3.2
demo|04531	1.3.98.3
demo|04531	1.3.99.22
demo|04532	1.14.14.18
demo|04537	1.13.11.75
demo|04546	2.1.1.329
demo|04546	2.1.1.-
demo|04555	4.1.1.23
demo|04558	2.7.1.2
demo|04560	3.6.1.27
demo|04564	3.1.-.-
demo|04565	6.3.5.-
demo|04574	3.-.-.-
demo|04582	3.-.-.-
demo|04586	3.6.4.12
demo|04591	6.3.4.5
demo|04601	1.-.-.-
demo|04602	3.1.2.22
demo|04606	1.2.1.41
demo|04625	1.13.11.75
demo|04634	4.2.99.18
demo|04635	3.4.24.-
demo|04637	4.1.1.31
demo|04655	1.2.7.-
demo|04655	1.2.7.1
demo|04657	6.2.-.-
demo|04667	3.1.13.-
demo|04668	6.3.4.13
demo|04668	6.3.3.1
demo|04668	2.1.2.2
demo|04669	2.4.2.10
demo|04670	2.7.8.-
demo|04672	5.3.1.24
demo|04678	7.1.1.-
demo|04691	3.4.24.-
demo|04702	3.4.21.26
demo|04705	2.7.6.1
demo|04711	6.1.1.17
demo|04718	3.4.24.-
demo|04719	3.4.24.-
demo|04721	3.6.5.n1
demo|04725	5.2.1.8
demo|04728	2.5.1.17
demo|04729	6.3.5.10
demo|04736	2.4.99.17
demo|04741	2.4.2.19
demo|04753	4.1.1.20
demo|04756	2.7.7.85
demo|04758	2.5.1.-
demo|04758	2.5.1.31
demo|04761	1.1.1.100
demo|04764	6.3.5.3
demo|04765	6.3.5.3
demo|04773	6.1.1.14
demo|04782	7.1.1.-
demo|04786	4.2.1.20
demo|04813	1.14.11.-
demo|04821	3.1.3.87
demo|04823	2.1.1.13
demo|04825	2.1.1.37
demo|04827	2.1.2.-
demo|04841	6.3.4.19
demo|04841	6.3.4.-
demo|04845	3.5.4.19
demo|04847	6.3.2.12
demo|04847	6.3.2.-
demo|04848	2.1.1.14
demo|04857	4.1.1.37
demo|04859	2.1.1.-
demo|04872	1.17.99.6
demo|04872	1.-.-.-
demo|04873	1.14.14.18
demo|04887	3.2.2.19
demo|04892	2.1.2.10
demo|04893	1.3.1.-
demo|04893	1.-.-.-
demo|04894	1.11.1.15
demo|04897	3.6.3.-
demo|04901	4.2.3.1
demo|04909	3.1.-.-
demo|04911	2.1.1.37
demo|04916	2.6.1.42
demo|04917	3.4.24.-
demo|04919	2.2.1.7
demo|04952	4.3.2.10
demo|04952	2.4.2.-
demo|04953	2.1.1.-
demo|04953	2.1.1.171
demo|04978	1.6.5.12
demo|04982	2.2.1.6
demo|04983	1.2.1.79
demo|04986	7.1.1.-
demo|04988	7.1.1.-
demo|04988	1.6.5.3
demo|04989	7.1.1.-
demo|04991	7.1.1.-
demo|04994	2.7.4.8
demo|04999	1.1.1.1
demo|05002	2.7.1.11
demo|05003	3.2.1.24
demo|05011	2.4.1.-
demo|05020	6.3.2.29
demo|05020	6.3.2.29 6.3.2.30
demo|05021	1.14.13.-
demo|05029	1.2.1.38
demo|05045	1.6.5.2
demo|05047	1.20.4.1
demo|05050	6.1.1.9
demo|05052	2.3.1.-
demo|05053	2.7.7.56
demo|05092	4.2.1.-
demo|05094	2.7.4.22
demo|05096	1.3.1.-
demo|05102	1.1.1.209
demo|05106	3.3.2.10
demo|05106	3.1.3.76
demo|05110	1.1.1.37
demo|05111	7.1.1.-
demo|05112	3.2.2.23
demo|05117	4.6.1.1
demo|05118	2.4.1.18
demo|05127	3.6.-.-
demo|05142	3.1.-.-
demo|05155	1.7.2.5
demo|05160	3.5.3.11
demo|05174	2.1.1.72
demo|05197	1.8.4.12
demo|05197	1.8.4.-
demo|05204	5.3.1.16
demo|05215	2.7.7.23
demo|05215	2.3.1.157
demo|05215	2.7.7.23 2.3.1.157
demo|05219	1.1.1.284
demo|05220	3.1.2.12
demo|05238	4.2.3.1
demo|05253	3.1.-.-
demo|05254	2.8.4.3
demo|05254	2.1.1.- 2.8.1.-
demo|05255	1.1.1.-
demo|05263	2.7.7.60
demo|05282	1.10.3.9
demo|05291	2.4.1.246
demo|05292	2.4.1.246
demo|05308	1.8.4.12
demo|05308	1.8.4.-
demo|05312	1.8.4.12
demo|05312	1.8.4.-
demo|05318	2.8.4.3
demo|05319	2.8.4.3
demo|05328	2.3.1.275
demo|05358	4.6.1.2
demo|05372	1.10.3.9
demo|05376	2.4.-.-
demo|05374	2.4.-.-
demo|05393	1.2.1.-
demo|05428	2.7.13.3
demo|05432	2.7.13.3
demo|05440	1.8.4.11
demo|05447	3.1.21.4
