#Pathway_id	Type	Name	ECs	total_family	total_family_found	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
PWY-5176	"COUMARIN-SYN;"	"coumarin biosynthesis (via 2-coumarate);"	3.2.1.21	4	1	1	0.01	13.76	0.00	0.27	0.00	0.03	0.00	13.32	0.00	0.15	0.00
PWY-6432	"POLYKETIDE-SYN; Super-Pathways;"	"curcuminoid biosynthesis;"	2.3.1.-+6.2.1.-	3	2	29	0.28	1842.84	0.12	36.15	0.03	103.01	0.05	1650.51	0.18	53.17	0.02
PWY-5377	"TRITERPENOID-SYN;"	"&alpha;-amyrin biosynthesis;"	5.4.99.-	1	1	13	0.13	793.23	0.05	37.67	0.03	22.47	0.01	726.21	0.08	6.88	0.00
PWY-6086	"Chloroaromatic-Compounds-Degradation;"	"4-chloro-2-methylphenoxyacetate degradation;"	1.14.11.-	2	1	2	0.02	263.05	0.02	0.00	0.00	0.56	0.00	262.12	0.03	0.36	0.00
GLYOXDEG-PWY	"Glycolate-Degradation;"	"glycolate and glyoxylate degradation II;"	2.3.3.9	2	1	2	0.02	79.12	0.01	7.69	0.01	0.11	0.00	70.93	0.01	0.39	0.00
PWY-6123	"IMP-Biosynthesis;"	"inosine-5'-phosphate biosynthesis I;"	2.1.2.3+3.5.4.10+4.3.2.2+5.4.99.18+6.3.2.6+6.3.4.18	6	6	12	0.12	1026.89	0.07	2.35	0.00	25.41	0.01	993.37	0.11	5.76	0.00
PWY-2721	"Trehalose-Degradation;"	"trehalose degradation III;"	5.4.2.6	2	1	2	0.02	99.58	0.01	0.12	0.00	0.12	0.00	99.24	0.01	0.09	0.00
PWY-5061	"ISOFLAVONOID-SYN;"	"6,7,4'-trihydroxyisoflavone biosynthesis;"	1.14.13.-+4.2.1.-	2	2	10	0.10	567.44	0.04	18.74	0.01	4.78	0.00	541.93	0.06	2.00	0.00
PWY-6317	"GALACTOSE-DEGRADATION;"	"D-galactose degradation I (Leloir pathway);"	5.1.3.2+5.1.3.3+5.4.2.6	5	3	9	0.09	681.81	0.04	0.80	0.00	1.47	0.00	676.93	0.07	2.62	0.00
SAM-PWY	"Cofactor-Biosynthesis;"	"S-adenosyl-L-methionine biosynthesis;"	2.5.1.6	1	1	3	0.03	82.18	0.01	2.57	0.00	0.01	0.00	79.52	0.01	0.08	0.00
PWY66-162	"Ethanol-Degradation;"	"ethanol degradation IV;"	1.2.1.3+6.2.1.1	3	2	8	0.08	468.53	0.03	0.94	0.00	4.32	0.00	460.36	0.05	2.92	0.00
ADENOSYLHOMOCYSCAT-PWY	"Methionine-Salvage;"	"L-methionine salvage from L-homocysteine;"	2.1.1.13	2	1	2	0.02	105.48	0.01	20.89	0.02	22.86	0.01	43.70	0.00	18.04	0.01
PWY-3341	"PROLINE-SYN;"	"L-proline biosynthesis III;"	1.5.1.2+2.6.1.13	2	2	4	0.04	300.23	0.02	15.08	0.01	5.91	0.00	277.02	0.03	2.22	0.00
PWY0-661	""	""	5.4.2.7	1	1	2	0.02	127.32	0.01	10.49	0.01	0.06	0.00	116.49	0.01	0.28	0.00
HSERMETANA-PWY	"Methionine-De-novo-Biosynthesis; Super-Pathways;"	"L-methionine biosynthesis III;"	2.1.1.13	2	1	2	0.02	105.48	0.01	20.89	0.02	22.86	0.01	43.70	0.00	18.04	0.01
PWY-6562	"Polyamine-Biosynthesis;"	"norspermidine biosynthesis;"	1.2.1.11+1.5.1.-+2.6.1.76+2.7.2.4	5	4	11	0.11	825.09	0.05	25.70	0.02	2.82	0.00	789.82	0.09	6.75	0.00
FERMENTATION-PWY	"Fermentation-to-Acids; Pyruvate-Ethanol-Fermentation;"	"mixed acid fermentation;"	1.1.1.1+1.1.1.37+1.1.1.42+2.3.1.8+2.7.1.40+2.7.2.1+4.1.1.31+4.2.1.2+4.2.1.3	14	9	32	0.31	1609.09	0.10	66.13	0.05	17.68	0.01	1512.22	0.16	13.07	0.00
PWY-5139	"ANTHOCYANIN-SYN;"	"pelargonidin conjugates biosynthesis;"	2.3.1.-+2.4.1.-	4	2	34	0.33	3822.68	0.24	316.13	0.25	601.22	0.28	1999.83	0.22	905.50	0.30
PWY-5966	"Fatty-acid-biosynthesis;"	"fatty acid biosynthesis initiation II;"	2.3.1.41	2	1	2	0.02	406.96	0.03	0.03	0.00	0.93	0.00	405.26	0.04	0.75	0.00
PWY-5197	"Energy-Metabolism;"	"lactate biosynthesis (archaea);"	1.1.1.-+1.2.1.22	3	2	13	0.13	869.32	0.06	3.60	0.00	20.27	0.01	841.26	0.09	4.19	0.00
PWY-561	"Energy-Metabolism; Super-Pathways;"	"superpathway of glyoxylate cycle and fatty acid degradation;"	1.1.1.35+1.1.1.37+1.3.5.1+2.3.1.16+2.3.3.9+4.1.3.1+4.2.1.17+4.2.1.2+4.2.1.3+6.2.1.3	13	10	64	0.62	3469.83	0.22	76.32	0.06	73.31	0.03	3289.89	0.36	30.31	0.01
PWY-6125	"Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;"	"superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II;"	1.1.1.205+1.17.4.1+2.7.4.6+2.7.4.8+6.3.5.2	7	5	15	0.14	1024.86	0.07	51.33	0.04	5.72	0.00	963.28	0.10	4.53	0.00
METSYN-PWY	"Methionine-De-novo-Biosynthesis; Super-Pathways;"	"superpathway of L-homoserine and L-methionine biosynthesis;"	1.1.1.3+1.2.1.11+2.1.1.13+2.3.1.46+2.5.1.48+2.7.2.4	8	6	13	0.13	897.71	0.06	46.84	0.04	25.72	0.01	800.37	0.09	24.79	0.01
REDCITCYC	"TCA-VARIANTS;"	"TCA cycle VIII (Helicobacter);"	1.1.1.42+2.8.3.5+4.2.1.2+4.2.1.3	8	4	15	0.14	1163.89	0.07	31.69	0.02	7.08	0.00	1118.29	0.12	6.83	0.00
PWY-4421	"PHENYLPROPANOID-SYN; POLYKETIDE-SYN;"	"curcumin glucoside biosynthesis;"	2.4.1.-	1	1	10	0.10	2365.78	0.15	290.39	0.23	591.53	0.27	583.98	0.06	899.88	0.30
ANAGLYCOLYSIS-PWY	"GLYCOLYSIS-VARIANTS;"	"glycolysis III (from glucose);"	1.2.1.12+2.7.1.11+2.7.1.2+2.7.1.40+2.7.2.3+4.1.2.13+4.2.1.11+5.3.1.1+5.3.1.9	10	9	39	0.38	4324.70	0.28	345.33	0.27	621.53	0.29	2491.50	0.27	866.34	0.29
GLYCOLYSIS-TCA-GLYOX-BYPASS	"Energy-Metabolism; Super-Pathways;"	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass;"	1.1.1.37+1.1.1.42+1.2.1.-+1.2.1.12+1.3.5.1+2.3.3.9+2.7.1.11+2.7.1.40+2.7.2.3+2.7.9.2+3.1.3.11+4.1.2.13+4.1.3.1+4.2.1.11+4.2.1.2+4.2.1.3+5.3.1.1+5.3.1.9+6.2.1.5	22	19	76	0.73	8525.49	0.54	704.88	0.55	1206.88	0.56	4877.65	0.53	1736.07	0.57
PWY-321	"EPIDERMAL-STRUCTURE; Lipid-Biosynthesis;"	"cutin biosynthesis;"	1.1.1.-+1.14.13.-+1.2.1.-	5	3	26	0.25	3852.85	0.25	323.67	0.25	593.36	0.28	2074.89	0.23	860.94	0.28
GALACTCAT-PWY	"SUGAR-ACIDS-DEG;"	"D-galactonate degradation;"	4.2.1.6	3	1	1	0.01	40.10	0.00	0.00	0.00	0.00	0.00	40.10	0.00	0.00	0.00
PWY-5701	"QUINONE-SYN;"	"shikonin biosynthesis;"	1.14.13.-+2.5.1.-	2	2	28	0.27	1864.85	0.12	55.05	0.04	15.55	0.01	1780.56	0.19	13.69	0.00
PWY-5062	"AROMATIC-COMPOUNDS-DEGRADATION; Super-Pathways;"	"superpathway of nicotinate degradation;"	1.17.1.5+1.17.2.1+4.1.3.32+5.3.3.6	16	4	7	0.07	199.02	0.01	20.59	0.02	3.75	0.00	168.84	0.02	5.84	0.00
PWY0-43	"SUCC-DEG;"	"conversion of succinate to propanoate;"	2.8.3.-+5.4.99.2	3	2	8	0.08	698.44	0.04	32.51	0.03	3.78	0.00	655.54	0.07	6.62	0.00
PWY-5740	"GDP-Sugar-Biosynthesis;"	"GDP-L-colitose biosynthesis;"	4.2.1.47	1	1	2	0.02	277.36	0.02	0.02	0.00	0.67	0.00	276.00	0.03	0.68	0.00
ALANINE-VALINESYN-PWY	"ALANINE-SYN;"	"L-alanine biosynthesis I;"	2.6.1.42+5.1.1.1	3	2	11	0.11	749.65	0.05	28.70	0.02	7.27	0.00	704.58	0.08	9.09	0.00
PPGPPMET-PWY	"Metabolic-Regulators;"	"ppGpp biosynthesis;"	2.7.4.6+2.7.6.5+3.6.1.40	4	3	9	0.09	349.29	0.02	13.20	0.01	16.84	0.01	313.70	0.03	5.55	0.00
PWY-6438	"POLYKETIDE-SYN;"	"phenylphenalenone biosynthesis;"	2.3.1.-	1	1	24	0.23	1456.90	0.09	25.75	0.02	9.69	0.00	1415.85	0.15	5.62	0.00
PWY-5491	"Phosphorus-Compounds;"	"diethylphosphate degradation;"	3.1.3.-	2	1	12	0.12	765.36	0.05	25.73	0.02	0.84	0.00	737.60	0.08	1.20	0.00
PWY-6321	"Sulfur-Metabolism;"	"homotaurine degradation;"	2.6.1.-	1	1	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
PWY-5097	"LYSINE-SYN;"	"L-lysine biosynthesis VI;"	1.2.1.11+2.6.1.83+2.7.2.4+4.1.1.20+5.1.1.7	7	5	19	0.18	2864.39	0.18	335.42	0.26	570.46	0.27	1098.60	0.12	859.91	0.28
PWY-5314	"LYSINE-DEG;"	"L-lysine degradation VIII;"	1.2.1.31	2	1	2	0.02	69.49	0.00	0.03	0.00	0.09	0.00	67.84	0.01	1.53	0.00
PWY-6240	""	""	2.7.9.1	1	1	1	0.01	25.63	0.00	0.02	0.00	3.34	0.00	21.51	0.00	0.75	0.00
PWY3O-4108	"TYROSINE-DEG;"	"L-tyrosine degradation III;"	1.1.1.1+2.6.1.57	4	2	7	0.07	359.57	0.02	0.20	0.00	8.09	0.00	347.48	0.04	3.81	0.00
PWY-6494	"GIBBERELLINS-DEGRADATION; Gibberellin-Inactivation; Metabolic-Clusters;"	"gibberellin inactivation III (epoxidation);"	1.14.-.-	1	1	5	0.05	306.19	0.02	0.37	0.00	4.10	0.00	300.52	0.03	1.20	0.00
PWY-6282	"Palmitoleate-Biosynthesis;"	"palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate);"	1.1.1.100+2.3.1.41+4.2.1.59	5	3	11	0.11	723.46	0.05	7.54	0.01	24.88	0.01	684.85	0.07	6.19	0.00
LIPASYN-PWY	"Fatty-Acid-and-Lipid-Degradation; Metabolic-Clusters;"	"phospholipases;"	3.1.1.32	5	1	1	0.01	21.24	0.00	0.00	0.00	0.00	0.00	21.23	0.00	0.00	0.00
PWY-5344	"Other-Amino-Acid-Biosynthesis;"	"L-homocysteine biosynthesis;"	2.3.1.31+2.5.1.49	2	2	4	0.04	341.49	0.02	0.12	0.00	0.85	0.00	340.00	0.04	0.52	0.00
PWY66-366	"Flavin-Biosynthesis;"	"flavin biosynthesis IV (mammalian);"	2.7.1.26+2.7.7.2	2	2	4	0.04	532.08	0.03	10.24	0.01	0.95	0.00	519.84	0.06	1.04	0.00
PWY-1801	"Formaldehyde-Oxidation;"	"formaldehyde oxidation II (glutathione-dependent);"	1.1.1.284+3.1.2.12	3	2	4	0.04	359.79	0.02	1.19	0.00	0.77	0.00	357.19	0.04	0.64	0.00
PWY-5958	"ALKALOIDS-SYN;"	"acridone alkaloid biosynthesis;"	4.1.3.27+6.2.1.-	4	2	11	0.11	554.02	0.04	10.75	0.01	110.11	0.05	380.39	0.04	52.78	0.02
PWY-6193	"3-Chlorocatechol-Degradation;"	"3-chlorocatechol degradation II (<i>ortho</i>);"	3.1.1.45+5.5.1.-	3	2	3	0.03	310.27	0.02	0.22	0.00	0.58	0.00	308.98	0.03	0.49	0.00
ACETATEUTIL-PWY	"CARBOXYLATES-DEG; Super-Pathways;"	"superpathway of acetate utilization and formation;"	2.3.1.8+2.7.2.1+6.2.1.1	3	3	10	0.10	556.05	0.04	15.57	0.01	4.18	0.00	531.69	0.06	4.61	0.00
PWY-5400	"BETALAIN-ALKALOIDS;"	"amaranthin biosynthesis;"	2.3.1.-+2.4.1.-	2	2	34	0.33	3822.68	0.24	316.13	0.25	601.22	0.28	1999.83	0.22	905.50	0.30
PWY-6457	"AROMATIC-COMPOUNDS-BIOSYN; CINNAMATE-SYN;"	"cinnamoyl-CoA biosynthesis;"	6.2.1.-	2	1	5	0.05	385.94	0.02	10.40	0.01	93.32	0.04	234.66	0.03	47.55	0.02
PWY-723	"Other-Degradation;"	"alkylnitronates degradation;"	1.7.1.4	2	1	2	0.02	409.26	0.03	0.03	0.00	1.29	0.00	406.65	0.04	1.29	0.00
PWY-681	"AROMATIC-COMPOUNDS-DEGRADATION;"	"dibenzothiophene desulfurization;"	1.14.13.-+1.14.14.-	3	2	4	0.04	258.15	0.02	8.14	0.01	0.14	0.00	249.42	0.03	0.45	0.00
PWY-6174	"Mevalonate-Pathways;"	"mevalonate pathway II (archaea);"	2.3.1.9+2.7.1.36+5.3.3.2	5	3	8	0.08	259.56	0.02	7.40	0.01	10.15	0.00	238.28	0.03	3.73	0.00
PWY-2724	"Fatty-Acid-Degradation;"	"alkane oxidation;"	1.2.1.3	1	1	4	0.04	181.68	0.01	0.13	0.00	0.26	0.00	181.16	0.02	0.13	0.00
P122-PWY	"Fermentation-to-Lactate; Pyruvate-Ethanol-Fermentation;"	"heterolactic fermentation;"	1.1.1.1+1.1.1.27+1.1.1.44+1.2.1.12+2.3.1.8+2.7.1.2+2.7.1.4+2.7.1.40+2.7.2.3+4.2.1.11+5.1.3.1+5.3.1.9	18	12	42	0.40	4389.50	0.28	344.61	0.27	625.83	0.29	2549.39	0.28	869.67	0.29
PWY-5188	"Tetrapyrrole-Biosynthesis;"	"tetrapyrrole biosynthesis I (from glutamate);"	1.2.1.70+2.5.1.61+4.2.1.24+4.2.1.75+5.4.3.8+6.1.1.17	6	6	16	0.15	2278.66	0.15	307.45	0.24	568.90	0.26	541.49	0.06	860.81	0.28
PHOTOALL-PWY	"Photosynthesis; Super-Pathways;"	"oxygenic photosynthesis;"	1.18.1.2+2.2.1.1+2.7.2.3+3.1.3.11+4.1.2.-+4.1.2.13+5.1.3.1+5.3.1.1+5.3.1.6	13	9	34	0.33	6899.26	0.44	909.39	0.71	1740.84	0.81	1636.33	0.18	2612.71	0.86
PWY-5538	"Pyruvate-Acetate-Fermentation; Super-Pathways;"	"pyruvate fermentation to acetate VI;"	6.2.1.5	2	1	3	0.03	149.51	0.01	9.77	0.01	1.37	0.00	135.69	0.01	2.68	0.00
PWY-5774	"TRITERPENOID-SYN;"	"saponin biosynthesis IV;"	2.4.1.-	1	1	10	0.10	2365.78	0.15	290.39	0.23	591.53	0.27	583.98	0.06	899.88	0.30
PWY-6559	"Spermidine-Biosynthesis;"	"spermidine biosynthesis II;"	1.2.1.11+1.5.1.-+2.7.2.4	3	3	9	0.09	574.38	0.04	25.69	0.02	2.30	0.00	540.00	0.06	6.39	0.00
PWY-2722	"Trehalose-Degradation;"	"trehalose degradation IV;"	2.4.1.64+2.7.1.2+5.4.2.6	3	3	5	0.05	247.02	0.02	13.10	0.01	3.61	0.00	229.55	0.03	0.76	0.00
PWY-6100	"Metabolic-Regulators;"	"L-carnitine biosynthesis;"	1.14.11.1	3	1	1	0.01	26.43	0.00	0.12	0.00	0.11	0.00	26.14	0.00	0.05	0.00
PWY-5111	""	""	2.5.1.55+2.7.7.38+3.1.3.45	3	3	4	0.04	444.44	0.03	0.27	0.00	0.84	0.00	442.60	0.05	0.73	0.00
GLUDEG-II-PWY	"Acetyl-CoA-Butyrate; GLUTAMATE-DEG; Super-Pathways;"	"L-glutamate degradation VII (to butanoate);"	1.1.1.35+2.3.1.19+2.3.1.9+2.7.2.7+6.2.1.1	13	5	20	0.19	870.28	0.06	24.05	0.02	14.79	0.01	822.61	0.09	8.82	0.00
ANAEROFRUCAT-PWY	"Fermentation-to-Lactate; Super-Pathways;"	"homolactic fermentation;"	1.1.1.27+1.2.1.12+2.7.1.11+2.7.1.2+2.7.1.40+2.7.2.3+2.7.9.2+3.1.3.11+4.1.2.13+4.2.1.11+5.3.1.1+5.3.1.9	13	12	49	0.47	6444.47	0.41	655.96	0.51	1186.23	0.55	2880.61	0.31	1721.67	0.57
PWY-6453	"Lipid-Biosynthesis;"	"stigma estolide biosynthesis;"	3.1.2.-	1	1	7	0.07	295.31	0.02	18.12	0.01	8.59	0.00	263.69	0.03	4.92	0.00
GLUT-REDOX-PWY	"Reductants;"	"glutathione-glutaredoxin redox reactions;"	1.8.1.7	2	1	3	0.03	184.50	0.01	2.47	0.00	0.15	0.00	181.75	0.02	0.12	0.00
ARGDEGRAD-PWY	"ARGININE-DEG; Super-Pathways;"	"L-arginine degradation V (arginine deiminase pathway);"	2.1.3.3+2.7.2.2+3.5.3.6	3	3	6	0.06	321.41	0.02	13.50	0.01	7.97	0.00	297.78	0.03	2.15	0.00
PWY-4081	"Reductants;"	"glutathione-peroxide redox reactions;"	1.11.1.9+1.8.1.7	3	2	5	0.05	223.07	0.01	2.75	0.00	3.34	0.00	216.06	0.02	0.92	0.00
PWY-1861	"Formaldehyde-Assimilation;"	"formaldehyde assimilation II (assimilatory RuMP Cycle);"	2.2.1.1+2.2.1.2+2.7.1.11+4.1.2.13+5.1.3.1+5.3.1.6	8	6	21	0.20	4448.79	0.28	606.48	0.47	1152.67	0.54	936.11	0.10	1753.52	0.58
PWY1-2	"ALANINE-DEG;"	"L-alanine degradation IV;"	1.4.1.1	1	1	2	0.02	204.61	0.01	0.21	0.00	0.45	0.00	203.51	0.02	0.44	0.00
PWY-6270	"ISOPRENOIDS; Super-Pathways;"	"isoprene biosynthesis I;"	1.1.1.267+1.17.1.2+1.17.7.1+2.2.1.7+2.7.1.148+2.7.7.60+4.6.1.12+5.3.3.2	9	8	22	0.21	3413.90	0.22	348.22	0.27	622.54	0.29	1520.80	0.17	922.33	0.30
GLUTSYN-PWY	"GLUTAMATE-SYN;"	"L-glutamate biosynthesis I;"	1.4.1.13	1	1	7	0.07	325.93	0.02	0.67	0.00	8.02	0.00	314.67	0.03	2.57	0.00
PHENYLALANINE-DEG1-PWY	"PHENYLALANINE-DEG;"	"L-phenylalanine degradation I (aerobic);"	1.14.16.1+1.5.1.34+4.2.1.96	3	3	6	0.06	402.35	0.03	10.77	0.01	2.10	0.00	386.13	0.04	3.35	0.00
PWY-5754	"4-Hydroxybenzoate-Biosynthesis;"	"4-hydroxybenzoate biosynthesis I (eukaryotes);"	6.2.1.12	3	1	1	0.01	13.76	0.00	0.27	0.00	0.03	0.00	13.32	0.00	0.15	0.00
PWY-6543	"Folate-Biosynthesis;"	"4-aminobenzoate biosynthesis;"	2.6.1.85+4.1.3.38	2	2	3	0.03	123.84	0.01	0.08	0.00	0.28	0.00	121.93	0.01	1.57	0.00
PWY-1381	"Fluorene-Degradation;"	"fluorene degradation II;"	1.14.-.-	1	1	5	0.05	306.19	0.02	0.37	0.00	4.10	0.00	300.52	0.03	1.20	0.00
PWY-6126	"Purine-Nucleotide-De-Novo-Biosynthesis; Super-Pathways;"	"superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II;"	1.17.4.1+2.7.4.3+2.7.4.6+3.6.3.14+4.3.2.2+6.3.4.4	7	6	40	0.38	5408.26	0.35	697.27	0.54	1180.36	0.55	1726.62	0.19	1804.02	0.59
PWY-5768	"Pyruvate-Acetate-Fermentation;"	"pyruvate fermentation to acetate VIII;"	4.1.1.1	2	1	1	0.01	29.10	0.00	0.00	0.00	0.28	0.00	28.76	0.00	0.07	0.00
PWY-84	"STILBENE-PHYTOALEXINS; STILBENE-SYN;"	"resveratrol biosynthesis;"	2.3.1.-	2	1	24	0.23	1456.90	0.09	25.75	0.02	9.69	0.00	1415.85	0.15	5.62	0.00
PWY-1581	"Plastoquinone-Biosynthesis;"	"plastoquinol-9 biosynthesis I;"	1.13.11.27+2.1.1.-	2	2	38	0.37	3654.44	0.23	376.29	0.29	605.33	0.28	1741.94	0.19	930.88	0.31
TEICHOICACID-PWY	"Teichoic-Acids-Biosynthesis;"	"poly(glycerol phosphate) wall teichoic acid biosynthesis;"	2.4.1.187+2.7.8.-+5.1.3.14	6	3	14	0.13	1126.45	0.07	18.76	0.01	1.99	0.00	1103.44	0.12	2.26	0.00
SER-GLYSYN-PWY	"Amino-Acid-Biosynthesis; Super-Pathways;"	"superpathway of L-serine and glycine biosynthesis I;"	1.1.1.95+2.1.2.1+2.6.1.52+3.1.3.3	4	4	12	0.12	998.23	0.06	14.16	0.01	9.57	0.00	969.89	0.11	4.61	0.00
PWY-3022	"CYANOGENIC-GLUCOSIDE-SYN;"	"linamarin biosynthesis;"	1.14.13.-	2	1	3	0.03	165.20	0.01	8.13	0.01	0.10	0.00	156.53	0.02	0.43	0.00
2ASDEG-PWY	"AROMATIC-COMPOUNDS-DEGRADATION;"	"orthanilate degradation;"	1.13.11.-+5.3.2.-	4	2	4	0.04	145.37	0.01	2.27	0.00	0.06	0.00	141.52	0.02	1.52	0.00
PWY-5469	"LIGNAN-SYN;"	"sesamin biosynthesis;"	1.-.-.-+1.14.13.-	2	2	59	0.57	7144.96	0.46	716.32	0.56	1215.22	0.56	3449.52	0.38	1763.90	0.58
PYRUVDEHYD-PWY	"Acetyl-CoA-Biosynthesis; CARBOXYLATES-DEG;"	"pyruvate decarboxylation to acetyl CoA;"	1.2.4.1+1.8.1.4+2.3.1.12	3	3	24	0.23	1048.29	0.07	32.99	0.03	3.11	0.00	999.17	0.11	13.03	0.00
PWY-2781	"CYTOKININ-BIOSYNTHESIS;"	"<i>cis</i>-zeatin biosynthesis;"	2.5.1.75	1	1	1	0.01	78.70	0.01	7.86	0.01	0.06	0.00	70.54	0.01	0.25	0.00
PWY-5181	"Super-Pathways; TOLUENE-DEG;"	"toluene degradation III (aerobic) (via <i>p</i>-cresol);"	1.13.11.3+1.14.13.-+1.14.13.2+2.3.1.174+2.8.3.6+3.1.1.24+4.1.1.44+5.5.1.2	10	8	14	0.13	469.44	0.03	8.25	0.01	21.96	0.01	433.81	0.05	5.42	0.00
PWY-5464	"Energy-Metabolism; Super-Pathways;"	"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle;"	1.1.1.37+1.1.1.41+1.2.1.12+1.2.4.1+1.3.5.1+1.8.1.4+2.3.1.12+2.7.1.11+2.7.1.40+2.7.2.3+4.1.2.13+4.2.1.11+4.2.1.2+4.2.1.3+5.3.1.1+6.2.1.5	20	16	84	0.81	6777.22	0.43	413.34	0.32	644.17	0.30	4827.62	0.53	892.09	0.29
PWYG-321	"Fatty-acid-biosynthesis;"	"mycolate biosynthesis;"	1.-.-.-+1.1.1.100+2.1.1.-+2.3.1.-+2.3.1.179+2.3.1.41+3.6.3.-+4.2.1.-+6.4.1.3	14	9	181	1.74	21176.64	1.35	2082.48	1.62	3547.77	1.65	10263.06	1.12	5283.33	1.74
PWY-5001	"XANTHONE-SYN;"	"tetrahydroxyxanthone biosynthesis (from benzoate);"	6.2.1.25	2	1	1	0.01	92.95	0.01	0.00	0.00	0.04	0.00	92.89	0.01	0.02	0.00
P221-PWY	"Other-Degradation;"	"octane oxidation;"	1.1.99.-+1.14.15.3+1.2.1.3+6.2.1.3	5	4	17	0.16	1032.96	0.07	20.99	0.02	15.94	0.01	991.67	0.11	4.38	0.00
DESULFONATION-PWY	"Sulfoaromatics-Degradation;"	"benzenesulfonate degradation;"	1.14.12.-	1	1	2	0.02	244.99	0.02	0.04	0.00	4.16	0.00	239.60	0.03	1.19	0.00
PWY-6014	"Vernolate-Biosynthesis;"	"vernolate biosynthesis I;"	1.14.13.-	1	1	3	0.03	165.20	0.01	8.13	0.01	0.10	0.00	156.53	0.02	0.43	0.00
PWY-6536	"4-Aminobutyraye-Degradation;"	"4-aminobutanoate degradation III;"	1.2.1.16	2	1	2	0.02	226.52	0.01	0.03	0.00	3.94	0.00	221.38	0.02	1.17	0.00
PWY-5265	"Peptidoglycan-Biosynthesis; Super-Pathways;"	"peptidoglycan biosynthesis II (staphylococci);"	2.4.1.129+2.4.1.227+2.5.1.7+2.7.8.13+3.4.16.4+5.1.1.3+6.3.2.10+6.3.2.4+6.3.2.8+6.3.2.9	15	10	57	0.55	3922.03	0.25	76.00	0.06	40.69	0.02	3788.03	0.41	17.31	0.01
CARNMET-PWY	"CARN-DEG;"	"L-carnitine degradation I;"	1.3.99.-+2.8.3.-+4.2.1.-+6.2.1.-	4	4	31	0.30	2011.53	0.13	27.49	0.02	103.64	0.05	1826.98	0.20	53.42	0.02
PWY66-368	"OTHER-ENERGY;"	"ketolysis;"	2.3.1.9+2.8.3.5	3	2	7	0.07	569.30	0.04	2.44	0.00	7.92	0.00	555.14	0.06	3.81	0.00
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	"Protocatechuate-Degradation;"	"protocatechuate degradation II (ortho-cleavage pathway);"	1.13.11.3+3.1.1.24+4.1.1.44+5.5.1.2	4	4	8	0.08	222.47	0.01	0.09	0.00	14.74	0.01	204.35	0.02	3.29	0.00
PWY-5981	"CDP-diacylglycerol-Biosynthesis;"	"CDP-diacylglycerol biosynthesis III;"	1.1.1.94+2.3.1.-+2.3.1.51+2.7.7.41	4	4	35	0.34	2167.32	0.14	77.49	0.06	37.99	0.02	2023.61	0.22	28.22	0.01
PWY-5339	"CHALCONE-SYN;"	"chalcone 2'-<i>O</i>-glucoside biosynthesis;"	2.4.1.-	1	1	10	0.10	2365.78	0.15	290.39	0.23	591.53	0.27	583.98	0.06	899.88	0.30
PWY-5398	"APOCAROTENOID-SYN;"	"crocetin esters biosynthesis;"	2.4.1.-	1	1	10	0.10	2365.78	0.15	290.39	0.23	591.53	0.27	583.98	0.06	899.88	0.30
PWY-6293	"CYSTEINE-SYN; Super-Pathways;"	"superpathway of L-cysteine biosynthesis (fungi);"	2.3.1.31+2.5.1.49+4.2.1.22+4.4.1.1	5	4	9	0.09	450.92	0.03	1.85	0.00	1.36	0.00	443.99	0.05	3.72	0.00
TRYPTOPHAN-DEGRADATION-1	"Super-Pathways; TRYPTOPHAN-DEG;"	"L-tryptophan degradation III (eukaryotic);"	1.1.1.35+1.13.11.11+1.14.13.9+1.2.1.32+2.3.1.9+3.7.1.3+4.1.1.45	11	7	15	0.14	659.47	0.04	3.14	0.00	12.26	0.01	637.62	0.07	6.45	0.00
SERSYN-PWY	"SERINE-BIOSYNTHESIS;"	"L-serine biosynthesis I;"	1.1.1.95+2.6.1.52+3.1.3.3	3	3	10	0.10	956.50	0.06	14.13	0.01	5.63	0.00	934.43	0.10	2.31	0.00
GLUTSYNIII-PWY	"GLUTAMATE-SYN;"	"L-glutamate biosynthesis III;"	1.4.1.4	1	1	2	0.02	272.03	0.02	0.05	0.00	0.60	0.00	270.89	0.03	0.49	0.00
CALVIN-PWY	"Autotrophic-CO2-Fixation; CARBO-BIOSYNTHESIS; Photosynthesis;"	"Calvin-Benson-Bassham cycle;"	2.2.1.1+2.7.2.3+3.1.3.11+4.1.2.-+4.1.2.13+5.1.3.1+5.3.1.1+5.3.1.6	12	8	30	0.29	4990.42	0.32	624.07	0.49	1153.56	0.54	1499.70	0.16	1713.09	0.56
