#KO	Name	Definition	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
K07692	degU	"two-component system, NarL family, response regulator DegU"	3	0.03	82.27	0.01	10.28	0.01	1.63	0.00	67.43	0.01	2.93	0.00
K01585	speA	"arginine decarboxylase [EC:4.1.1.19]"	4	0.04	209.03	0.01	10.49	0.01	0.21	0.00	196.54	0.02	1.78	0.00
K23269	purL	"phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3]"	1	0.01	37.23	0.00	0.91	0.00	0.06	0.00	36.09	0.00	0.18	0.00
K03615	rnfC	"Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C [EC:7.2.1.2]"	2	0.02	99.39	0.01	4.93	0.00	0.00	0.00	94.38	0.01	0.07	0.00
K09456	aidB	"putative acyl-CoA dehydrogenase"	1	0.01	60.25	0.00	0.00	0.00	0.13	0.00	60.08	0.01	0.04	0.00
K01956	carA, CPA1	"carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]"	31	0.30	2179.56	0.14	197.04	0.15	416.35	0.19	1443.00	0.16	123.18	0.04
K02954	RP-S14, MRPS14, rpsN	"small subunit ribosomal protein S14"	2	0.02	85.18	0.01	0.00	0.00	0.04	0.00	83.70	0.01	1.43	0.00
K06985	K06985	"aspartyl protease family protein"	2	0.02	81.12	0.01	0.24	0.00	16.39	0.01	62.18	0.01	2.31	0.00
K01868	TARS, thrS	"threonyl-tRNA synthetase [EC:6.1.1.3]"	4	0.04	402.47	0.03	10.13	0.01	0.60	0.00	391.03	0.04	0.70	0.00
K01869	LARS, leuS	"leucyl-tRNA synthetase [EC:6.1.1.4]"	3	0.03	379.26	0.02	0.34	0.00	1.24	0.00	376.84	0.04	0.84	0.00
K21703	cbbR, cmpR, ndhR	"LysR family transcriptional regulator, low CO2-responsive transcriptional regulator"	1	0.01	59.33	0.00	0.00	0.00	0.11	0.00	59.17	0.01	0.04	0.00
K09574	FKBP8	"FK506-binding protein 8 [EC:5.2.1.8]"	10	0.10	458.88	0.03	20.17	0.02	2.72	0.00	427.53	0.05	8.46	0.00
K02768	PTS-Fru-EIIA, fruB	"PTS system, fructose-specific IIA component [EC:2.7.1.202]"	12	0.12	579.85	0.04	11.59	0.01	4.02	0.00	561.12	0.06	3.13	0.00
K12657	ALDH18A1, P5CS	"delta-1-pyrroline-5-carboxylate synthetase [EC:2.7.2.11 1.2.1.41]"	9	0.09	714.49	0.05	38.29	0.03	7.24	0.00	664.21	0.07	4.75	0.00
K01738	cysK	"cysteine synthase [EC:2.5.1.47]"	24	0.23	1156.81	0.07	30.71	0.02	5.28	0.00	1111.76	0.12	9.07	0.00
K08683	HSD17B10	"3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase [EC:1.1.1.35 1.1.1.178]"	5	0.05	208.51	0.01	8.41	0.01	0.22	0.00	199.36	0.02	0.52	0.00
K16789	thiT	"thiamine transporter"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
K19976	mntB	"manganese transport system permease protein"	1	0.01	25.03	0.00	0.13	0.00	0.10	0.00	24.72	0.00	0.09	0.00
K22216	ilvD1	"dehydratase ilvD1"	1	0.01	89.86	0.01	0.35	0.00	0.52	0.00	88.59	0.01	0.41	0.00
K18649	IMPL2	"inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]"	1	0.01	196.45	0.01	0.00	0.00	0.40	0.00	195.69	0.02	0.35	0.00
K00849	galK	"galactokinase [EC:2.7.1.6]"	3	0.03	90.91	0.01	12.49	0.01	1.64	0.00	73.76	0.01	3.02	0.00
K01247	alkA	"DNA-3-methyladenine glycosylase II [EC:3.2.2.21]"	3	0.03	115.37	0.01	0.01	0.00	0.03	0.00	115.31	0.01	0.03	0.00
K03979	obgE, cgtA, MTG2	"GTPase [EC:3.6.5.-]"	4	0.04	217.41	0.01	2.69	0.00	0.65	0.00	212.18	0.02	1.89	0.00
K00330	nuoA	"NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]"	2	0.02	102.58	0.01	0.91	0.00	0.41	0.00	100.03	0.01	1.22	0.00
K05588	hoxU	"bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]"	18	0.17	1658.74	0.11	4.87	0.00	36.00	0.02	1607.23	0.18	10.63	0.00
K11381	bkdA	"2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]"	31	0.30	1846.51	0.12	54.56	0.04	4.51	0.00	1774.20	0.19	13.24	0.00
K02959	RP-S16, MRPS16, rpsP	"small subunit ribosomal protein S16"	3	0.03	161.55	0.01	0.03	0.00	3.77	0.00	156.93	0.02	0.83	0.00
K01188	E3.2.1.21	"beta-glucosidase [EC:3.2.1.21]"	3	0.03	198.08	0.01	0.91	0.00	1.18	0.00	194.86	0.02	1.13	0.00
K05744	LIMK2	"LIM domain kinase 2 [EC:2.7.11.1]"	10	0.10	523.88	0.03	3.04	0.00	1.40	0.00	518.48	0.06	0.96	0.00
K02911	RP-L32, MRPL32, rpmF	"large subunit ribosomal protein L32"	2	0.02	93.95	0.01	0.04	0.00	0.13	0.00	93.70	0.01	0.08	0.00
K04567	KARS, lysS	"lysyl-tRNA synthetase, class II [EC:6.1.1.6]"	4	0.04	102.03	0.01	10.65	0.01	7.10	0.00	81.31	0.01	2.98	0.00
K04772	degQ, hhoA	"serine protease DegQ [EC:3.4.21.-]"	1	0.01	15.58	0.00	1.07	0.00	0.51	0.00	12.93	0.00	1.07	0.00
K00356	E1.6.99.3	"NADH dehydrogenase [EC:1.6.99.3]"	44	0.42	4811.61	0.31	354.73	0.28	618.69	0.29	2935.77	0.32	902.42	0.30
K13378	nuoCD	"NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2]"	5	0.05	521.18	0.03	1.78	0.00	1.28	0.00	515.98	0.06	2.14	0.00
K07399	resB, ccs1	"cytochrome c biogenesis protein"	1	0.01	86.60	0.01	8.13	0.01	0.05	0.00	78.17	0.01	0.24	0.00
K01446	PGRP	"peptidoglycan recognition protein"	8	0.08	371.44	0.02	19.18	0.01	18.03	0.01	327.39	0.04	6.84	0.00
K00939	adk, AK	"adenylate kinase [EC:2.7.4.3]"	3	0.03	2036.92	0.13	325.56	0.25	585.68	0.27	234.59	0.03	891.09	0.29
K18244	mmgC	"acyl-CoA dehydrogenase [EC:1.3.99.-]"	3	0.03	109.75	0.01	0.13	0.00	0.13	0.00	107.97	0.01	1.52	0.00
K09007	folE2	"GTP cyclohydrolase IB [EC:3.5.4.16]"	1	0.01	59.41	0.00	0.00	0.00	0.12	0.00	59.27	0.01	0.02	0.00
K00031	IDH1, IDH2, icd	"isocitrate dehydrogenase [EC:1.1.1.42]"	14	0.13	1030.39	0.07	36.30	0.03	2.75	0.00	988.69	0.11	2.66	0.00
K06215	pdxS, pdx1	"pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]"	1	0.01	17.05	0.00	0.00	0.00	0.00	0.00	17.05	0.00	0.00	0.00
K06187	recR	"recombination protein RecR"	4	0.04	139.47	0.01	17.44	0.01	4.78	0.00	113.60	0.01	3.65	0.00
K01576	mdlC	"benzoylformate decarboxylase [EC:4.1.1.7]"	10	0.10	578.40	0.04	0.88	0.00	8.86	0.00	565.88	0.06	2.79	0.00
K01739	metB	"cystathionine gamma-synthase [EC:2.5.1.48]"	4	0.04	67.05	0.00	0.52	0.00	0.24	0.00	63.37	0.01	2.92	0.00
K07160	pxpA	"5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]"	1	0.01	17.05	0.00	0.00	0.00	0.00	0.00	17.05	0.00	0.00	0.00
K07107	ybgC	"acyl-CoA thioester hydrolase [EC:3.1.2.-]"	1	0.01	78.70	0.01	7.86	0.01	0.06	0.00	70.54	0.01	0.25	0.00
K16165	nagK	"fumarylpyruvate hydrolase [EC:3.7.1.20]"	1	0.01	30.93	0.00	0.03	0.00	3.52	0.00	26.54	0.00	0.84	0.00
K01838	pgmB	"beta-phosphoglucomutase [EC:5.4.2.6]"	9	0.09	634.09	0.04	7.48	0.01	4.48	0.00	620.80	0.07	1.33	0.00
K21053	ade	"adenine deaminase [EC:3.5.4.2]"	2	0.02	89.31	0.01	0.00	0.00	0.14	0.00	89.13	0.01	0.04	0.00
K08902	psb27	"photosystem II Psb27 protein"	1	0.01	1814.06	0.12	325.55	0.25	585.16	0.27	14.02	0.00	889.33	0.29
K18955	whiB1_2_3_4	"WhiB family transcriptional regulator, redox-sensing transcriptional regulator"	2	0.02	55.28	0.00	0.51	0.00	0.32	0.00	54.24	0.01	0.21	0.00
K10017	hisP	"histidine transport system ATP-binding protein [EC:7.4.2.1]"	8	0.08	241.65	0.02	2.46	0.00	7.32	0.00	230.01	0.03	1.87	0.00
K00052	leuB, IMDH	"3-isopropylmalate dehydrogenase [EC:1.1.1.85]"	4	0.04	89.04	0.01	0.12	0.00	0.43	0.00	86.92	0.01	1.58	0.00
K17103	CHO1, pssA	"CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]"	1	0.01	37.23	0.00	0.91	0.00	0.06	0.00	36.09	0.00	0.18	0.00
K01998	livM	"branched-chain amino acid transport system permease protein"	116	1.12	17287.79	1.10	1624.34	1.27	2990.15	1.39	8327.33	0.91	4345.97	1.43
K01715	crt	"enoyl-CoA hydratase [EC:4.2.1.17]"	7	0.07	370.38	0.02	8.37	0.01	1.18	0.00	358.46	0.04	2.37	0.00
K01513	ENPP1_3, CD203	"ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9]"	2	0.02	52.67	0.00	9.88	0.01	1.22	0.00	38.81	0.00	2.77	0.00
K12368	dppA	"dipeptide transport system substrate-binding protein"	1	0.01	215.66	0.01	0.02	0.00	0.52	0.00	214.71	0.02	0.41	0.00
K01207	nagZ	"beta-N-acetylhexosaminidase [EC:3.2.1.52]"	16	0.15	695.45	0.04	3.79	0.00	2.40	0.00	683.29	0.07	5.97	0.00
K00839	pucG	"(S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112]"	4	0.04	202.95	0.01	0.33	0.00	0.61	0.00	200.18	0.02	1.84	0.00
K00334	nuoE	"NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]"	9	0.09	708.38	0.05	6.78	0.01	1.62	0.00	696.79	0.08	3.20	0.00
K00286	proC	"pyrroline-5-carboxylate reductase [EC:1.5.1.2]"	4	0.04	184.54	0.01	10.73	0.01	3.58	0.00	168.70	0.02	1.52	0.00
K18164	NDUFAF7	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 7"	1	0.01	42.83	0.00	0.30	0.00	16.61	0.01	23.61	0.00	2.31	0.00
K06190	ispZ	"intracellular septation protein"	1	0.01	190.91	0.01	0.01	0.00	0.44	0.00	190.05	0.02	0.40	0.00
K01599	hemE, UROD	"uroporphyrinogen decarboxylase [EC:4.1.1.37]"	4	0.04	306.81	0.02	0.06	0.00	3.63	0.00	300.53	0.03	2.59	0.00
K00067	rfbD, rmlD	"dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]"	3	0.03	321.56	0.02	0.05	0.00	0.87	0.00	319.92	0.03	0.72	0.00
K00355	NQO1	"NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]"	1	0.01	50.21	0.00	2.37	0.00	0.01	0.00	47.79	0.01	0.04	0.00
K02226	cobC, phpB	"alpha-ribazole phosphatase [EC:3.1.3.73]"	6	0.06	278.53	0.02	15.08	0.01	5.22	0.00	254.62	0.03	3.61	0.00
K04080	ibpA	"molecular chaperone IbpA"	2	0.02	259.89	0.02	0.31	0.00	17.09	0.01	239.76	0.03	2.73	0.00
K06146	idnR, gntH	"LacI family transcriptional regulator, gluconate utilization system Gnt-II transcriptional activator"	1	0.01	191.30	0.01	0.01	0.00	0.40	0.00	190.55	0.02	0.34	0.00
K14472	smtB	"succinyl-CoA:(S)-malate CoA-transferase subunit B [EC:2.8.3.22]"	4	0.04	163.44	0.01	0.58	0.00	4.79	0.00	156.52	0.02	1.55	0.00
K01648	ACLY	"ATP citrate (pro-S)-lyase [EC:2.3.3.8]"	1	0.01	61.15	0.00	0.00	0.00	0.15	0.00	60.99	0.01	0.01	0.00
K07441	ALG14	"beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]"	2	0.02	64.60	0.00	9.83	0.01	0.11	0.00	54.40	0.01	0.25	0.00
K08805	DCLK1_2	"doublecortin-like kinase 1/2 [EC:2.7.11.1]"	4	0.04	181.10	0.01	2.91	0.00	0.79	0.00	176.72	0.02	0.67	0.00
K02906	RP-L3, MRPL3, rplC	"large subunit ribosomal protein L3"	1	0.01	1814.06	0.12	325.55	0.25	585.16	0.27	14.02	0.00	889.33	0.29
K00761	upp, UPRT	"uracil phosphoribosyltransferase [EC:2.4.2.9]"	2	0.02	58.56	0.00	0.78	0.00	0.04	0.00	57.52	0.01	0.22	0.00
K10119	msmG	"raffinose/stachyose/melibiose transport system permease protein"	1	0.01	40.10	0.00	0.00	0.00	0.00	0.00	40.10	0.00	0.00	0.00
K06145	gntR	"LacI family transcriptional regulator, gluconate utilization system Gnt-I transcriptional repressor"	2	0.02	244.82	0.02	0.04	0.00	4.13	0.00	239.48	0.03	1.16	0.00
K07718	yesM	"two-component system, sensor histidine kinase YesM [EC:2.7.13.3]"	146	1.40	18207.07	1.16	1675.57	1.31	3195.19	1.48	8797.74	0.96	4538.57	1.50
K03041	rpoA1	"DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]"	5	0.05	239.81	0.02	0.12	0.00	0.14	0.00	239.37	0.03	0.18	0.00
K11187	PRDX5	"peroxiredoxin 5, atypical 2-Cys peroxiredoxin [EC:1.11.1.15]"	3	0.03	1980.26	0.13	298.45	0.23	564.53	0.26	263.78	0.03	853.49	0.28
K06286	ezrA	"septation ring formation regulator"	2	0.02	146.61	0.01	10.13	0.01	0.08	0.00	136.07	0.01	0.33	0.00
K01589	purK	"5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]"	9	0.09	628.87	0.04	30.77	0.02	2.15	0.00	592.10	0.06	3.85	0.00
K00568	ubiG	"2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]"	19	0.18	3396.71	0.22	295.16	0.23	615.04	0.29	1580.33	0.17	906.17	0.30
K03750	moeA	"molybdopterin molybdotransferase [EC:2.10.1.1]"	1	0.01	72.73	0.00	0.00	0.00	0.02	0.00	72.68	0.01	0.03	0.00
K00688	PYG, glgP	"glycogen phosphorylase [EC:2.4.1.1]"	4	0.04	207.81	0.01	1.83	0.00	20.76	0.01	181.29	0.02	3.92	0.00
K00259	ald	"alanine dehydrogenase [EC:1.4.1.1]"	4	0.04	252.51	0.02	0.34	0.00	4.23	0.00	246.66	0.03	1.28	0.00
K01048	pldB	"lysophospholipase [EC:3.1.1.5]"	2	0.02	275.15	0.02	7.87	0.01	0.46	0.00	266.23	0.03	0.60	0.00
K05364	pbpA	"penicillin-binding protein A"	15	0.14	1068.12	0.07	29.36	0.02	5.61	0.00	1030.10	0.11	3.05	0.00
K00788	thiE	"thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]"	6	0.06	2333.53	0.15	325.58	0.25	586.32	0.27	530.23	0.06	891.40	0.29
K08744	CRLS	"cardiolipin synthase (CMP-forming) [EC:2.7.8.41]"	1	0.01	50.96	0.00	4.85	0.00	3.43	0.00	42.25	0.00	0.43	0.00
K14441	rimO	"ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]"	3	0.03	98.36	0.01	7.20	0.01	1.05	0.00	86.63	0.01	3.48	0.00
K05946	tagA, tarA	"N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]"	1	0.01	49.69	0.00	2.47	0.00	0.00	0.00	47.19	0.01	0.04	0.00
K01909	mbtM	"long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:6.2.1.20]"	34	0.33	4245.14	0.27	324.13	0.25	714.40	0.33	2296.07	0.25	910.54	0.30
K05591	dbpA	"ATP-independent RNA helicase DbpA [EC:3.6.4.13]"	26	0.25	3580.48	0.23	331.77	0.26	596.63	0.28	1748.50	0.19	903.57	0.30
K00050	ttuD	"hydroxypyruvate reductase [EC:1.1.1.81]"	1	0.01	27.05	0.00	0.01	0.00	3.50	0.00	22.65	0.00	0.88	0.00
K00371	narH, narY, nxrB	"nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"	5	0.05	731.68	0.05	9.93	0.01	2.72	0.00	715.13	0.08	3.90	0.00
K01965	PCCA, pccA	"propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]"	20	0.19	1239.89	0.08	44.84	0.03	39.65	0.02	1142.10	0.12	13.30	0.00
K02860	rimM	"16S rRNA processing protein RimM"	3	0.03	102.06	0.01	0.04	0.00	4.00	0.00	95.88	0.01	2.14	0.00
K10772	APEX2	"AP endonuclease 2 [EC:4.2.99.18]"	5	0.05	563.83	0.04	17.30	0.01	3.52	0.00	536.73	0.06	6.27	0.00
K01663	HIS7	"imidazole glycerol-phosphate synthase [EC:4.3.2.10]"	19	0.18	899.15	0.06	45.74	0.04	24.99	0.01	809.39	0.09	19.03	0.01
K01703	leuC, IPMI-L	"3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]"	10	0.10	409.58	0.03	22.94	0.02	5.86	0.00	376.93	0.04	3.84	0.00
K02552	menF	"menaquinone-specific isochorismate synthase [EC:5.4.4.2]"	1	0.01	73.16	0.00	0.00	0.00	0.01	0.00	73.10	0.01	0.04	0.00
K22074	NFU1, HIRIP5	"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial"	1	0.01	196.45	0.01	0.00	0.00	0.40	0.00	195.69	0.02	0.35	0.00
K02749	PTS-Glv-EIIB, glvB, malP, aglA	"PTS system, alpha-glucoside-specific IIB component [EC:2.7.1.208 2.7.1.-]"	1	0.01	86.60	0.01	8.13	0.01	0.05	0.00	78.17	0.01	0.24	0.00
K07644	cusS, copS, silS	"two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]"	178	1.71	23824.49	1.52	2310.42	1.80	4265.07	1.98	11002.41	1.20	6246.59	2.06
K13530	adaA	"AraC family transcriptional regulator, regulatory protein of adaptative response / methylphosphotriester-DNA alkyltransferase methyltransferase [EC:2.1.1.-]"	7	0.07	299.02	0.02	9.92	0.01	4.90	0.00	280.92	0.03	3.28	0.00
K06285	mtrB	"transcription attenuation protein (tryptophan RNA-binding attenuator protein)"	1	0.01	86.60	0.01	8.13	0.01	0.05	0.00	78.17	0.01	0.24	0.00
K10190	lacG, araQ	"lactose/L-arabinose transport system permease protein"	2	0.02	80.21	0.01	0.00	0.00	0.00	0.00	80.20	0.01	0.01	0.00
K02195	ccmC	"heme exporter protein C"	2	0.02	74.47	0.00	0.00	0.00	0.17	0.00	72.92	0.01	1.38	0.00
K02458	gspI	"general secretion pathway protein I"	2	0.02	133.31	0.01	0.07	0.00	0.49	0.00	131.73	0.01	1.02	0.00
K11105	cvrA, nhaP2	"cell volume regulation protein A"	3	0.03	129.84	0.01	0.25	0.00	0.23	0.00	129.24	0.01	0.12	0.00
K01495	GCH1, folE	"GTP cyclohydrolase IA [EC:3.5.4.16]"	1	0.01	86.60	0.01	8.13	0.01	0.05	0.00	78.17	0.01	0.24	0.00
K00151	hpaE, hpcC	"5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]"	5	0.05	469.57	0.03	0.67	0.00	1.64	0.00	466.05	0.05	1.21	0.00
K08281	pncA	"nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]"	1	0.01	13.71	0.00	0.00	0.00	0.01	0.00	12.23	0.00	1.46	0.00
K07646	kdpD	"two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]"	204	1.96	25562.74	1.63	2325.09	1.81	4389.52	2.04	12546.03	1.37	6302.09	2.08
K12659	ARG56	"N-acetyl-gamma-glutamyl-phosphate reductase / acetylglutamate kinase [EC:1.2.1.38 2.7.2.8]"	14	0.13	1810.73	0.12	151.90	0.12	767.66	0.36	707.49	0.08	183.68	0.06
K02029	ABC.PA.P	"polar amino acid transport system permease protein"	16	0.15	714.82	0.05	7.55	0.01	8.10	0.00	696.46	0.08	2.71	0.00
K03528	zipA	"cell division protein ZipA"	1	0.01	59.41	0.00	0.00	0.00	0.12	0.00	59.27	0.01	0.02	0.00
K19413	KDM1B, AOF1, LSD2	"lysine-specific histone demethylase 1B [EC:1.-.-.-]"	1	0.01	72.05	0.00	0.00	0.00	0.03	0.00	72.00	0.01	0.02	0.00
K18588	COQ10	"coenzyme Q-binding protein COQ10"	1	0.01	216.75	0.01	0.12	0.00	0.65	0.00	215.33	0.02	0.66	0.00
K00702	E2.4.1.20	"cellobiose phosphorylase [EC:2.4.1.20]"	1	0.01	59.41	0.00	0.00	0.00	0.12	0.00	59.27	0.01	0.02	0.00
K04518	pheA2	"prephenate dehydratase [EC:4.2.1.51]"	16	0.15	2532.26	0.16	313.01	0.24	617.78	0.29	738.01	0.08	863.46	0.28
K01849	E5.4.99.2B, mcmA2	"methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]"	6	0.06	312.76	0.02	35.87	0.03	3.03	0.00	267.89	0.03	5.96	0.00
K13402	MTHFD1L	"monofunctional C1-tetrahydrofolate synthase, mitochondrial [EC:6.3.4.3]"	5	0.05	281.18	0.02	24.79	0.02	0.64	0.00	254.64	0.03	1.12	0.00
K01428	ureC	"urease subunit alpha [EC:3.5.1.5]"	1	0.01	195.59	0.01	0.01	0.00	0.42	0.00	194.83	0.02	0.33	0.00
K05708	hcaE, hcaA1	"3-phenylpropionate/trans-cinnamate dioxygenase subunit alpha [EC:1.14.12.19]"	2	0.02	244.99	0.02	0.04	0.00	4.16	0.00	239.60	0.03	1.19	0.00
K11483	HOS2	"histone deacetylase HOS2 [EC:3.5.1.98]"	1	0.01	221.14	0.01	0.01	0.00	0.48	0.00	220.28	0.02	0.38	0.00
K02079	agaA	"N-acetylgalactosamine-6-phosphate deacetylase [EC:3.5.1.25]"	4	0.04	372.91	0.02	2.92	0.00	1.34	0.00	367.43	0.04	1.23	0.00
K07018	K07018	"uncharacterized protein"	2	0.02	249.48	0.02	0.03	0.00	0.55	0.00	248.44	0.03	0.46	0.00
K07574	yhbY	"RNA-binding protein"	2	0.02	100.97	0.01	2.37	0.00	0.13	0.00	98.40	0.01	0.08	0.00
K03518	coxS	"aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]"	14	0.13	557.05	0.04	22.42	0.02	16.87	0.01	507.70	0.06	10.06	0.00
K14170	pheA	"chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51]"	9	0.09	482.30	0.03	14.06	0.01	30.12	0.01	431.99	0.05	6.14	0.00
K22491	litR	"MerR family transcriptional regulator, light-induced transcriptional regulator"	1	0.01	13.73	0.00	0.00	0.00	0.01	0.00	12.06	0.00	1.66	0.00
K03824	yhbS	"putative acetyltransferase [EC:2.3.1.-]"	2	0.02	24.34	0.00	0.23	0.00	0.01	0.00	23.99	0.00	0.10	0.00
K01414	prlC	"oligopeptidase A [EC:3.4.24.70]"	4	0.04	124.88	0.01	10.03	0.01	1.35	0.00	109.18	0.01	4.33	0.00
K05820	hcaT	"MFS transporter, PPP family, 3-phenylpropionic acid transporter"	5	0.05	239.03	0.02	18.21	0.01	2.12	0.00	213.71	0.02	4.99	0.00
K01181	E3.2.1.8, xynA	"endo-1,4-beta-xylanase [EC:3.2.1.8]"	24	0.23	2248.92	0.14	299.92	0.23	564.80	0.26	530.17	0.06	854.03	0.28
K00059	fabG, OAR1	"3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	8	0.08	388.37	0.02	20.45	0.02	3.87	0.00	361.17	0.04	2.88	0.00
K01933	purM	"phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]"	13	0.13	1164.73	0.07	2.49	0.00	9.24	0.00	1148.43	0.13	4.58	0.00
K00088	IMPDH, guaB	"IMP dehydrogenase [EC:1.1.1.205]"	24	0.23	1650.22	0.11	49.62	0.04	95.13	0.04	1454.54	0.16	50.94	0.02
K06988	fno	"8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]"	1	0.01	13.57	0.00	0.23	0.00	0.01	0.00	13.23	0.00	0.10	0.00
K02813	PTS-Sor-EIIB, sorB	"PTS system, sorbose-specific IIB component [EC:2.7.1.206]"	2	0.02	84.38	0.01	4.53	0.00	0.01	0.00	79.78	0.01	0.07	0.00
K13628	iscA	"iron-sulfur cluster assembly protein"	1	0.01	72.42	0.00	0.01	0.00	0.04	0.00	72.35	0.01	0.02	0.00
K02396	flgK	"flagellar hook-associated protein 1 FlgK"	1	0.01	23.81	0.00	0.00	0.00	0.00	0.00	23.81	0.00	0.00	0.00
K01096	pgpB	"phosphatidylglycerophosphatase B [EC:3.1.3.27 3.1.3.81 3.1.3.4 3.6.1.27]"	3	0.03	169.77	0.01	1.19	0.00	0.35	0.00	167.90	0.02	0.33	0.00
K20035	dmdC	"3-(methylthio)propanoyl-CoA dehydrogenase [EC:1.3.8.-]"	4	0.04	148.32	0.01	0.29	0.00	7.14	0.00	139.11	0.02	1.78	0.00
K09747	K09747	"uncharacterized protein"	3	0.03	1869.88	0.12	283.00	0.22	590.40	0.27	97.56	0.01	898.91	0.30
K00919	ispE	"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]"	4	0.04	305.72	0.02	2.40	0.00	3.85	0.00	296.92	0.03	2.55	0.00
K03790	rimJ	"[ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]"	1	0.01	50.96	0.00	4.85	0.00	3.43	0.00	42.25	0.00	0.43	0.00
K02240	comFA	"competence protein ComFA"	1	0.01	49.69	0.00	2.47	0.00	0.00	0.00	47.19	0.01	0.04	0.00
K07167	chrR	"putative transcriptional regulator"	2	0.02	71.99	0.00	0.32	0.00	20.22	0.01	48.38	0.01	3.06	0.00
K02886	RP-L2, MRPL2, rplB	"large subunit ribosomal protein L2"	1	0.01	1814.06	0.12	325.55	0.25	585.16	0.27	14.02	0.00	889.33	0.29
K01899	LSC1	"succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]"	3	0.03	149.51	0.01	9.77	0.01	1.37	0.00	135.69	0.01	2.68	0.00
K01769	E4.6.1.2	"guanylate cyclase, other [EC:4.6.1.2]"	130	1.25	18622.09	1.19	1943.14	1.52	3552.07	1.65	7836.59	0.85	5290.28	1.74
K07514	EHHADH	"enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]"	35	0.34	3766.15	0.24	335.82	0.26	625.90	0.29	1897.16	0.21	907.28	0.30
K01593	DDC, TDC	"aromatic-L-amino-acid/L-tryptophan decarboxylase [EC:4.1.1.28 4.1.1.105]"	2	0.02	114.29	0.01	0.41	0.00	1.21	0.00	112.10	0.01	0.57	0.00
K01529	yjjX	"inosine/xanthosine triphosphatase [EC:3.6.1.-]"	17	0.16	4569.00	0.29	664.85	0.52	1182.26	0.55	936.92	0.10	1784.97	0.59
