#Ontology	count	count_pct	abundance	abundance_pct	depth_M1	depth_pct_M1	depth_M2	depth_pct_M2	depth_M3	depth_pct_M3	depth_M4	depth_pct_M4	plevel_pct_P1	plevel_pct_P2	plevel_pct_P3	plevel_pct_P4
"08_Hydrocarbon degradation";"Polycyclic aromatics degradation";	1	0.02	11.69	0.00	0	0.00	11.44	0.00	0	0.00	0.25	0.00	0	0	0	0
"08_Hydrocarbon degradation";"Hydrocarbon degradation";	2	0.05	6344.48	0.02	1499.66	0.02	1889.89	0.02	1112.56	0.02	1842.37	0.02	0	0	0	0
"08_Hydrocarbon degradation";"BTEX and related aromatics degradation";	2	0.05	12694.16	0.05	2985.95	0.05	3906.66	0.05	2037.34	0.04	3764.21	0.05	0.01	0.02	0.01	0.01
"08_Hydrocarbon degradation";"Other aromatics degradation";	2	0.05	13104.00	0.05	3081.95	0.05	4032.42	0.05	2093.50	0.05	3896.12	0.05	0	0	0	0
"08_Hydrocarbon degradation";"Nitoaromatics degradation";	3	0.07	19794.86	0.07	4676.99	0.07	6040.62	0.07	3288.60	0.07	5788.63	0.07	0	0	0	0
"08_Hydrocarbon degradation";"Aromatic carboxylic acid degradation";	6	0.14	40474.49	0.14	9585.70	0.14	12493.25	0.15	6463.98	0.14	11931.54	0.14	0	0	0	0
"08_Hydrocarbon degradation";"Polycyclic aromatic hydrocarbon degradation";	31	0.71	200771.31	0.72	47380.80	0.72	60775.71	0.71	33763.51	0.73	58851.25	0.71	0.09	0.13	0.12	0.11
"02_Homoacetogenesis";"Glycolysis";	11	0.25	72859.31	0.26	17300.65	0.26	21806.88	0.26	12613.03	0.27	21138.73	0.26	0.06	0.07	0.08	0.05
"02_Homoacetogenesis";"Acetate formation from acetyl-coA I";	1	0.02	6506.78	0.02	1539.12	0.02	1976.83	0.02	1067.43	0.02	1923.40	0.02	0	0.00	0	0.01
"02_Homoacetogenesis";"Acetate formation from acetyl-coA II";	1	0.02	6521.23	0.02	1547.97	0.02	1985.76	0.02	1070.30	0.02	1917.20	0.02	0	0	0	0
"02_Homoacetogenesis";"Reductive acetyl coenzyme A pathway";	29	0.67	186903.10	0.67	44098.16	0.67	56817.70	0.67	30855.14	0.67	55132.07	0.67	0.13	0.19	0.15	0.15
"07_Nucleic acid metabolism";"Purine metabolism";	264	6.07	1638041.62	5.85	386376.35	5.84	501744.79	5.88	266528.62	5.78	483392.11	5.87	3.41	3.04	4.30	3.15
"07_Nucleic acid metabolism";"Pyrimidine metabolism";	96	2.21	623201.88	2.23	147040.27	2.22	188808.31	2.21	103916.72	2.25	183436.41	2.23	1.72	1.54	1.92	1.46
"07_Nucleic acid metabolism";"Degradation of pyrimidine bases";	1	0.02	6473.07	0.02	1528.08	0.02	1942.78	0.02	1103.81	0.02	1898.40	0.02	0.02	0.03	0.02	0.02
"11_Nitrogen cycle";"Ammonia assimilation";	9	0.21	57995.52	0.21	13720.27	0.21	18024.20	0.21	9001.71	0.20	17249.36	0.21	0.01	0.01	0.03	0.04
"11_Nitrogen cycle";"Nitrogenated compounds Reduction";"Assimilatory nitrate reduction";"Nitrate to ammonia";	2	0.05	12967.86	0.05	3045.33	0.05	3995.63	0.05	2045.89	0.04	3881.00	0.05	0.02	0.02	0.02	0.02
"11_Nitrogen cycle";"Nitrogenated compounds Reduction";"Hydroxylamine reduction";	1	0.02	6709.57	0.02	1582.63	0.02	2022.99	0.02	1139.10	0.02	1964.86	0.02	0.00	0.00	0.00	0
"11_Nitrogen cycle";"Nitrogenated compounds Reduction";"Denitrification";"Nitrous oxide to nitrogen";	1	0.02	6466.38	0.02	1514.72	0.02	2006.08	0.02	1006.32	0.02	1939.26	0.02	0	0	0	0
"11_Nitrogen cycle";"Nitrogenated compounds Reduction";"Denitrification";"Nitrite oxide to nitrous oxide";	1	0.02	5943.52	0.02	1375.26	0.02	1893.85	0.02	890.08	0.02	1784.33	0.02	0	0	0	0
"11_Nitrogen cycle";"Nitrogenated compounds Reduction";"Denitrification";"Nitrite to nitrite oxide";	2	0.05	13790.79	0.05	3232.61	0.05	4230.29	0.05	2282.78	0.05	4045.10	0.05	0	0	0	0
"11_Nitrogen cycle";"Nitrogen Fixation";	7	0.16	45564.14	0.16	10755.45	0.16	14257.64	0.17	7162.02	0.16	13389.02	0.16	0	0	0	0
"12_Transporters";"Phosphotransferase system (pts)";"Enzyme I and hpr";"Enzyme I";	2	0.05	12887.92	0.05	3044.23	0.05	3911.18	0.05	2118.61	0.05	3813.91	0.05	0	0	0	0
"12_Transporters";"Major Facilitator superfamily (MFS)";"Organic acid transporters";"Oxalate:formate antiporter (oFA) family [tc:2.A.1.11]";	1	0.02	6284.50	0.02	1490.15	0.02	1888.18	0.02	1063.09	0.02	1843.09	0.02	0	0	0	0
"12_Transporters";"Major Facilitator superfamily (MFS)";"Sugar transporters";"Purine transporter (AzgA) family [tc:2.A.1.40]";	1	0.02	6615.35	0.02	1552.83	0.02	2030.94	0.02	1095.93	0.02	1935.65	0.02	0.00	0.01	0	0.00
"12_Transporters";"Major Facilitator superfamily (MFS)";"Nitrate/nitrite transporters";"Nitrate/nitrite porter (nnp) family [tc:2.A.1.8]";	1	0.02	6284.50	0.02	1490.15	0.02	1888.18	0.02	1063.09	0.02	1843.09	0.02	0.21	0.18	0.27	0.20
"12_Transporters";"Major Facilitator superfamily (MFS)";"Drug transporters";"Drug:h+ antiporter-1 (12 spanner) (DhA1) family [tc:2.A.1.2]";	1	0.02	6303.66	0.02	1457.89	0.02	2050.04	0.02	894.39	0.02	1901.34	0.02	0	0	0	0
"12_Transporters";"Major Facilitator superfamily (MFS)";"Drug transporters";"Drug:h+ antiporter-3 (12 spanner) (DhA3) [tc:2.A.1.21]";	2	0.05	12771.80	0.05	2978.89	0.05	4031.55	0.05	1948.21	0.04	3813.14	0.05	0	0	0	0
"12_Transporters";"Major Facilitator superfamily (MFS)";"Drug transporters";"Putative aromatic compound/drug exporter (AcDE) family [tc:2.A.1.32]";	1	0.02	6602.52	0.02	1551.34	0.02	2042.87	0.02	1053.93	0.02	1954.38	0.02	0.00	0.00	0.00	0.00
"12_Transporters";"Major Facilitator superfamily (MFS)";"Metal transporters";"Putative bacteriochlorophyll delivery (bcD) family [tc:2.A.1.41]";	2	0.05	13013.56	0.05	3078.24	0.05	3953.66	0.05	2134.86	0.05	3846.80	0.05	0	0	0	0
"12_Transporters";"Major Facilitator superfamily (MFS)";"Unknown transporters";"Unknown major facilitator-2 (UmF2) [tc:2.A.1.26]";	5	0.11	31431.75	0.11	7402.03	0.11	9719.06	0.11	4969.34	0.11	9341.33	0.11	0.22	0.18	0.27	0.21
"12_Transporters";"ABC transporters, prokaryotic type";"PEPtide and nickel transporters";"Microcin c transporter [mD:m00349]";	2	0.05	12753.53	0.05	3019.42	0.05	3852.59	0.05	2164.77	0.05	3716.75	0.05	0.00	0.00	0.00	0.00
"12_Transporters";"ABC transporters, prokaryotic type";"PEPtide and nickel transporters";"PEPtides/nickel transporter [mD:m00239]";	20	0.46	127191.05	0.45	29991.87	0.45	38500.09	0.45	21405.12	0.46	37293.93	0.45	0.01	0.03	0.02	0.02
"12_Transporters";"ABC transporters, prokaryotic type";"Mineral and organic ion transporters";"Iron(III) transporter [mD:m00190]";	15	0.34	88951.90	0.32	20910.38	0.32	26920.75	0.32	14946.66	0.32	26174.08	0.32	0.36	0.42	0.32	0.28
"12_Transporters";"ABC transporters, prokaryotic type";"Mineral and organic ion transporters";"Putative spermidine/putrescine transporter [mD:m00193]";	1	0.02	6439.65	0.02	1511.91	0.02	1994.19	0.02	1020.06	0.02	1913.49	0.02	0	0	0	0
"12_Transporters";"ABC transporters, prokaryotic type";"Mineral and organic ion transporters";"Putrescine transporter [mD:m00300]";	3	0.07	19318.95	0.07	4535.73	0.07	5982.57	0.07	3060.18	0.07	5740.47	0.07	0.02	0.01	0.01	0.01
"12_Transporters";"ABC transporters, prokaryotic type";"Mineral and organic ion transporters";"Sulfonate/nitrate/taurine transporter [mD:m00188]";	5	0.11	31659.99	0.11	7467.45	0.11	9798.13	0.11	5039.66	0.11	9354.77	0.11	0.01	0.01	0.00	0.01
"12_Transporters";"ABC transporters, prokaryotic type";"Mineral and organic ion transporters";"Molybdate transporter [mD:m00189]";	2	0.05	13065.20	0.05	3088.94	0.05	4129.82	0.05	2012.32	0.04	3834.12	0.05	0.05	0.07	0.05	0.05
"12_Transporters";"ABC transporters, prokaryotic type";"Mineral and organic ion transporters";"Osmoprotectant transporter [mD:m00209]";	4	0.09	25944.19	0.09	6132.21	0.09	7830.19	0.09	4402.05	0.10	7579.75	0.09	0.47	0.36	0.36	0.39
"12_Transporters";"ABC transporters, prokaryotic type";"Mineral and organic ion transporters";"Bicarbonate transporter [mD:m00321]";	1	0.02	5886.60	0.02	1378.98	0.02	1811.63	0.02	943.71	0.02	1752.28	0.02	0	0	0	0
"12_Transporters";"ABC transporters, prokaryotic type";"Mineral and organic ion transporters";"Spermidine/putrescine transporter [mD:m00299]";	4	0.09	25776.66	0.09	6067.70	0.09	7916.95	0.09	4141.96	0.09	7650.05	0.09	0.02	0.02	0.01	0.02
"12_Transporters";"ABC transporters, prokaryotic type";"Oligosaccharide and polyol transporters";"Putative ABC transporter [mD:m00210]";	4	0.09	24957.86	0.09	5835.94	0.09	7683.51	0.09	4006.47	0.09	7431.92	0.09	0.02	0.02	0.01	0.01
"12_Transporters";"ABC transporters, prokaryotic type";"Oligosaccharide and polyol transporters";"Putative ABC transporter [mD:m00211]";	1	0.02	6564.04	0.02	1565.29	0.02	1986.41	0.02	1090.71	0.02	1921.63	0.02	0.00	0.00	0	0
"12_Transporters";"ABC transporters, prokaryotic type";"Oligosaccharide and polyol transporters";"Sn-glycerol 3-phosphate transporter [mD:m00198]";	5	0.11	31975.27	0.11	7560.65	0.11	9828.59	0.12	5126.43	0.11	9459.61	0.11	0.00	0.00	0	0.00
"12_Transporters";"ABC transporters, prokaryotic type";"Oligosaccharide and polyol transporters";"Maltose/maltodextrin transporter [mD:m00194]";	1	0.02	6261.67	0.02	1486.72	0.02	1893.27	0.02	1056.16	0.02	1825.52	0.02	0	0	0	0
"12_Transporters";"ABC transporters, prokaryotic type";"Oligosaccharide and polyol transporters";"Putative sugar transporter [mD:m00197]";	1	0.02	6261.67	0.02	1486.72	0.02	1893.27	0.02	1056.16	0.02	1825.52	0.02	0	0	0	0
"12_Transporters";"ABC transporters, prokaryotic type";"Oligosaccharide and polyol transporters";"Multiple sugar transporter [mD:m00196]";	1	0.02	6261.67	0.02	1486.72	0.02	1893.27	0.02	1056.16	0.02	1825.52	0.02	0	0	0	0
"12_Transporters";"ABC transporters, prokaryotic type";"Oligosaccharide and polyol transporters";"Multiple sugar transporter [mD:m00207]";	8	0.18	52266.41	0.19	12327.11	0.19	16113.78	0.19	8400.34	0.18	15425.15	0.19	0.04	0.04	0.07	0.04
"12_Transporters";"ABC transporters, prokaryotic type";"Monosaccharide transporters";"Phosphate transporter [mD:m00222]";	14	0.32	85058.72	0.30	19948.92	0.30	25837.41	0.30	14092.66	0.31	25179.76	0.31	0.04	0.05	0.03	0.04
"12_Transporters";"ABC transporters, prokaryotic type";"Monosaccharide transporters";"Phosphonate transporter [mD:m00223]";	2	0.05	12645.62	0.05	2972.45	0.04	3857.98	0.05	2058.13	0.04	3757.06	0.05	0.00	0.00	0	0
"12_Transporters";"ABC transporters, prokaryotic type";"ABC-2 type and other transporters";"Lipopolysaccharide transporter [mD:m00320]";	9	0.21	51790.53	0.18	12219.11	0.18	15787.43	0.18	8485.90	0.18	15298.09	0.19	0.01	0.00	0.01	0.01
"12_Transporters";"ABC transporters, prokaryotic type";"ABC-2 type and other transporters";"Orphan ABC Atpase";	1	0.02	6720.30	0.02	1583.07	0.02	2109.94	0.02	1013.17	0.02	2014.12	0.02	0.00	0.00	0	0.00
"12_Transporters";"ABC transporters, prokaryotic type";"ABC-2 type and other transporters";"Uncharacterized ABC transporter [mD:m00258]";	3	0.07	19464.04	0.07	4586.34	0.07	5959.44	0.07	3181.94	0.07	5736.32	0.07	0.00	0.01	0.00	0.00
"12_Transporters";"ABC transporters, prokaryotic type";"ABC-2 type and other transporters";"ABC-2 type transporter [mD:m00254]";	8	0.18	51272.96	0.18	12059.61	0.18	15792.31	0.18	8180.68	0.18	15240.36	0.18	0.67	0.75	0.52	0.72
"12_Transporters";"ABC transporters, prokaryotic type";"ABC-2 type and other transporters";"Antibiotic ABC transporter [mD:m00248]";	2	0.05	12507.23	0.04	2950.17	0.04	3840.26	0.04	1995.50	0.04	3721.30	0.05	0	0	0	0
"12_Transporters";"ABC transporters, prokaryotic type";"ABC-2 type and other transporters";"Lipopolysaccharide transporter [mD:m00250]";	2	0.05	13484.50	0.05	3208.14	0.05	3842.22	0.04	2566.30	0.06	3867.86	0.05	0	0	0	0
"12_Transporters";"ABC transporters, prokaryotic type";"Phosphate and amino acid transporters";"D-methionine transporter [mD:m00238]";	1	0.02	6277.36	0.02	1469.63	0.02	1899.67	0.02	1042.78	0.02	1865.28	0.02	0	0	0	0
"12_Transporters";"ABC transporters, prokaryotic type";"Phosphate and amino acid transporters";"Polar amino acid transporter [mD:m00236]";	3	0.07	19612.76	0.07	4635.26	0.07	5964.19	0.07	3254.82	0.07	5758.48	0.07	0.05	0.09	0.04	0.09
"12_Transporters";"ABC transporters, prokaryotic type";"Phosphate and amino acid transporters";"Branched-chain amino acid transporter [mD:m00237]";	13	0.30	84431.79	0.30	19860.26	0.30	25914.91	0.30	13747.59	0.30	24908.96	0.30	0.01	0.01	0	0.01
"12_Transporters";"ABC transporters, prokaryotic type";" metallic cation, iron-siderophore and vitamin b12 transporters";"Manganese/zinc/iron transporter [mD:m00319]";	1	0.02	6209.59	0.02	1460.09	0.02	1926.12	0.02	949.72	0.02	1873.66	0.02	0	0	0	0
"12_Transporters";"ABC transporters, prokaryotic type";" metallic cation, iron-siderophore and vitamin b12 transporters";"Vitamin b12 transporter [mD:m00241]";	1	0.02	6467.38	0.02	1525.95	0.02	2000.80	0.02	1031.52	0.02	1909.11	0.02	0	0	0	0
"12_Transporters";"ABC transporters, prokaryotic type";" metallic cation, iron-siderophore and vitamin b12 transporters";"Iron complex transporter [mD:m00240]";	2	0.05	12988.61	0.05	3073.92	0.05	3986.56	0.05	2101.82	0.05	3826.31	0.05	0.01	0.01	0.01	0.02
"12_Transporters";"ABC transporters, prokaryotic type";" metallic cation, iron-siderophore and vitamin b12 transporters";"Zinc transporter [mD:m00242]";	6	0.14	37569.18	0.13	8848.42	0.13	11616.36	0.14	5818.88	0.13	11285.50	0.14	0.01	0.01	0.01	0.02
"12_Transporters";"ABC transporters, prokaryotic type";" metallic cation, iron-siderophore and vitamin b12 transporters";"Cobalt transporter [mD:m00245]";	7	0.16	44832.01	0.16	10560.93	0.16	13579.81	0.16	7396.85	0.16	13294.43	0.16	0.10	0.11	0.12	0.09
"12_Transporters";"ABC transporters, prokaryotic type";" metallic cation, iron-siderophore and vitamin b12 transporters";"Zinc/manganese transporter [mD:m00244]";	1	0.02	6209.59	0.02	1460.09	0.02	1926.12	0.02	949.72	0.02	1873.66	0.02	0	0	0	0
"05_Fatty acid oxidation";"Fatty acid omega-oxidation";	2	0.05	6344.48	0.02	1499.66	0.02	1889.89	0.02	1112.56	0.02	1842.37	0.02	0	0	0	0
"05_Fatty acid oxidation";"Fatty acid beta-oxidation IV (unsaturated)";	2	0.05	12802.91	0.05	3029.52	0.05	3866.48	0.05	2126.15	0.05	3780.78	0.05	0	0	0	0
"05_Fatty acid oxidation";"Fatty acid beta-oxidation I";	15	0.34	97791.84	0.35	23109.32	0.35	30109.81	0.35	15630.20	0.34	28942.53	0.35	0.09	0.05	0.05	0.13
"05_Fatty acid oxidation";"Fatty acid alpha-oxidation";	2	0.05	6344.48	0.02	1499.66	0.02	1889.89	0.02	1112.56	0.02	1842.37	0.02	0	0	0	0
"05_Fatty acid oxidation";"Fatty acid beta-oxidation III (unsaturated)";	1	0.02	6028.36	0.02	1401.42	0.02	1875.21	0.02	937.63	0.02	1814.10	0.02	0	0	0	0
"05_Fatty acid oxidation";"Fatty acid beta-oxidation II (core pathway)";	10	0.23	65983.66	0.24	15617.08	0.24	20407.32	0.24	10434.99	0.23	19524.29	0.24	0.09	0.05	0.05	0.13
"05_Fatty acid oxidation";"Fatty acid activation";	9	0.21	57449.96	0.21	13561.46	0.21	17435.20	0.20	9482.51	0.21	16970.82	0.21	0	0	0	0
"09_Carbohydrate Active enzyme - CAZy";"Glycoside hydrolase";	31	0.71	199288.16	0.71	47002.28	0.71	60462.32	0.71	33315.46	0.72	58508.03	0.71	0.08	0.06	0.09	0.07
"09_Carbohydrate Active enzyme - CAZy";"Polysaccharide lyase";	10	0.23	63775.17	0.23	15027.89	0.23	19355.98	0.23	10664.83	0.23	18726.48	0.23	0.03	0.02	0.02	0.03
"09_Carbohydrate Active enzyme - CAZy";"Carbohydrate esterase";	7	0.16	45469.71	0.16	10740.12	0.16	13852.10	0.16	7435.20	0.16	13442.27	0.16	0.07	0.05	0.07	0.05
"09_Carbohydrate Active enzyme - CAZy";"Glycosyltransferase";	64	1.47	415780.28	1.48	98150.49	1.48	126818.53	1.49	68253.56	1.48	122557.61	1.49	0.90	0.73	1.09	0.86
"17_Gluconeogenesis";"Gluconeogenesis in archea";	23	0.53	148842.93	0.53	35075.33	0.53	45725.16	0.54	24021.11	0.52	44021.30	0.53	0.09	0.09	0.09	0.07
"17_Gluconeogenesis";"Gluconeogenesis";	18	0.41	116361.98	0.42	27428.75	0.41	35652.22	0.42	18936.91	0.41	34344.12	0.42	0.01	0.01	0.01	0.01
