#Accession	Name	Function	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
TIGR01784	T_den_put_tspse	"conserved hypothetical protein"	2	0.02	144.80	0.01	0.01	0.00	0.06	0.00	144.69	0.02	0.05	0.00
TIGR00449	tgt_general	"tRNA-guanine family transglycosylase"	3	0.03	115.69	0.01	2.39	0.00	0.39	0.00	111.48	0.01	1.42	0.00
TIGR01171	rplB_bact	"ribosomal protein uL2"	1	0.01	1814.06	0.12	325.55	0.25	585.16	0.27	14.02	0.00	889.33	0.29
TIGR00963	secA	"preprotein translocase, SecA subunit"	4	0.04	311.60	0.02	2.73	0.00	0.65	0.00	306.29	0.03	1.93	0.00
TIGR03342	dsrC_tusE_dsvC	"sulfur relay protein, TusE/DsrC/DsvC family"	2	0.02	116.93	0.01	0.03	0.00	0.23	0.00	116.60	0.01	0.08	0.00
TIGR02469	CbiT	"precorrin-6Y C5,15-methyltransferase (decarboxylating), CbiT subunit"	1	0.01	73.16	0.00	0.00	0.00	0.01	0.00	73.10	0.01	0.04	0.00
TIGR01430	aden_deam	"adenosine deaminase"	3	0.03	126.54	0.01	0.91	0.00	0.19	0.00	125.22	0.01	0.22	0.00
TIGR02947	SigH_actino	"RNA polymerase sigma-70 factor, TIGR02947 family"	1	0.01	27.64	0.00	0.26	0.00	0.16	0.00	27.12	0.00	0.10	0.00
TIGR01496	DHPS	"dihydropteroate synthase"	2	0.02	85.88	0.01	0.02	0.00	3.47	0.00	81.60	0.01	0.79	0.00
TIGR00515	accD	"acetyl-CoA carboxylase, carboxyl transferase, beta subunit"	5	0.05	428.34	0.03	10.17	0.01	0.81	0.00	416.30	0.05	1.05	0.00
TIGR02614	ftsW	"cell division protein FtsW"	1	0.01	13.15	0.00	0.26	0.00	0.00	0.00	12.83	0.00	0.06	0.00
TIGR02769	nickel_nikE	"nickel import ATP-binding protein NikE"	4	0.04	297.04	0.02	0.10	0.00	10.84	0.01	283.33	0.03	2.77	0.00
TIGR01591	Fdh-alpha	"formate dehydrogenase, alpha subunit"	2	0.02	217.69	0.01	0.01	0.00	0.40	0.00	216.93	0.02	0.35	0.00
TIGR02191	RNaseIII	"ribonuclease III"	2	0.02	129.85	0.01	0.03	0.00	0.09	0.00	129.65	0.01	0.08	0.00
TIGR00237	xseA	"exodeoxyribonuclease VII, large subunit"	2	0.02	146.84	0.01	8.13	0.01	0.18	0.00	138.26	0.02	0.28	0.00
TIGR01534	GAPDH-I	"glyceraldehyde-3-phosphate dehydrogenase, type I"	9	0.09	2428.98	0.16	311.92	0.24	572.30	0.27	689.11	0.08	855.65	0.28
TIGR02777	LigD_PE_dom	"DNA ligase D, 3'-phosphoesterase domain"	1	0.01	41.89	0.00	1.18	0.00	0.06	0.00	40.37	0.00	0.28	0.00
TIGR02464	ribofla_fusion	"conserved hypothetical protein"	2	0.02	107.00	0.01	0.00	0.00	0.02	0.00	106.94	0.01	0.03	0.00
TIGR03002	outer_YhbN_LptA	"lipopolysaccharide transport periplasmic protein LptA"	2	0.02	53.25	0.00	0.26	0.00	0.00	0.00	52.93	0.01	0.07	0.00
TIGR01418	PEP_synth	"phosphoenolpyruvate synthase"	4	0.04	126.68	0.01	0.82	0.00	0.19	0.00	124.00	0.01	1.68	0.00
TIGR01326	OAH_OAS_sulfhy	"O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase"	4	0.04	304.24	0.02	0.24	0.00	0.82	0.00	302.51	0.03	0.66	0.00
TIGR01060	eno	"phosphopyruvate hydratase"	2	0.02	227.80	0.01	0.05	0.00	3.61	0.00	223.12	0.02	1.02	0.00
TIGR01048	lysA	"diaminopimelate decarboxylase"	5	0.05	193.93	0.01	10.98	0.01	3.59	0.00	178.12	0.02	1.24	0.00
TIGR00971	3a0106s03	"sulfate ABC transporter, sulfate-binding protein"	1	0.01	21.24	0.00	0.00	0.00	0.00	0.00	21.23	0.00	0.00	0.00
TIGR02818	adh_III_F_hyde	"S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase"	2	0.02	89.75	0.01	0.03	0.00	4.07	0.00	84.75	0.01	0.90	0.00
TIGR03843	TIGR03843	"conserved hypothetical protein"	1	0.01	25.03	0.00	0.13	0.00	0.10	0.00	24.72	0.00	0.09	0.00
TIGR01039	atpD	"ATP synthase F1, beta subunit"	3	0.03	54.89	0.00	9.94	0.01	1.39	0.00	39.34	0.00	4.22	0.00
TIGR01962	NuoD	"NADH dehydrogenase (quinone), D subunit"	3	0.03	293.88	0.02	0.92	0.00	0.81	0.00	290.59	0.03	1.56	0.00
TIGR01462	greA	"transcription elongation factor GreA"	5	0.05	362.26	0.02	9.90	0.01	4.05	0.00	346.80	0.04	1.50	0.00
TIGR04306	salvage_TenA	"thiaminase II"	1	0.01	195.59	0.01	0.01	0.00	0.42	0.00	194.83	0.02	0.33	0.00
TIGR00166	S6	"ribosomal protein bS6"	1	0.01	25.68	0.00	0.12	0.00	0.11	0.00	25.33	0.00	0.13	0.00
TIGR00964	secE_bact	"preprotein translocase, SecE subunit"	2	0.02	268.39	0.02	0.01	0.00	0.44	0.00	267.59	0.03	0.35	0.00
TIGR00167	cbbA	"ketose-bisphosphate aldolase"	2	0.02	41.45	0.00	0.20	0.00	0.00	0.00	41.20	0.00	0.04	0.00
TIGR00345	GET3_arsA_TRC40	"transport-energizing ATPase, TRC40/GET3/ArsA family"	2	0.02	1802.08	0.12	298.41	0.23	564.00	0.26	86.55	0.01	853.11	0.28
TIGR01216	ATP_synt_epsi	"ATP synthase F1, epsilon subunit"	3	0.03	54.89	0.00	9.94	0.01	1.39	0.00	39.34	0.00	4.22	0.00
TIGR01187	potA	"polyamine ABC transporter, ATP-binding protein"	3	0.03	268.01	0.02	0.25	0.00	17.04	0.01	247.76	0.03	2.96	0.00
TIGR00136	gidA	"tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA"	3	0.03	111.38	0.01	0.03	0.00	3.68	0.00	105.13	0.01	2.54	0.00
TIGR01083	nth	"endonuclease III"	2	0.02	289.11	0.02	0.01	0.00	0.50	0.00	288.16	0.03	0.44	0.00
TIGR00931	antiport_nhaC	"Na+/H+ antiporter NhaC"	1	0.01	59.41	0.00	0.00	0.00	0.12	0.00	59.27	0.01	0.02	0.00
TIGR00091	TIGR00091	"tRNA (guanine-N(7)-)-methyltransferase"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
TIGR03156	GTP_HflX	"GTP-binding protein HflX"	3	0.03	287.12	0.02	7.87	0.01	0.50	0.00	276.83	0.03	1.91	0.00
TIGR00747	fabH	"3-oxoacyl-[acyl-carrier-protein] synthase III"	5	0.05	188.01	0.01	12.52	0.01	1.52	0.00	171.00	0.02	2.96	0.00
TIGR03164	UHCUDC	"OHCU decarboxylase"	1	0.01	23.90	0.00	0.00	0.00	0.00	0.00	23.89	0.00	0.00	0.00
TIGR00171	leuD	"3-isopropylmalate dehydratase, small subunit"	1	0.01	25.47	0.00	0.12	0.00	0.14	0.00	25.10	0.00	0.12	0.00
TIGR02435	CobG	"precorrin-3B synthase"	1	0.01	73.16	0.00	0.00	0.00	0.01	0.00	73.10	0.01	0.04	0.00
TIGR01730	RND_mfp	"efflux transporter, RND family, MFP subunit"	13	0.13	984.22	0.06	1.53	0.00	1.72	0.00	977.55	0.11	3.42	0.00
TIGR01843	type_I_hlyD	"type I secretion membrane fusion protein, HlyD family"	2	0.02	144.39	0.01	0.01	0.00	0.03	0.00	144.32	0.02	0.04	0.00
TIGR00112	proC	"pyrroline-5-carboxylate reductase"	2	0.02	113.65	0.01	8.14	0.01	3.55	0.00	100.83	0.01	1.13	0.00
TIGR01263	4HPPD	"4-hydroxyphenylpyruvate dioxygenase"	1	0.01	72.38	0.00	0.00	0.00	0.02	0.00	72.33	0.01	0.03	0.00
TIGR01136	cysKM	"cysteine synthase"	2	0.02	114.32	0.01	1.19	0.00	0.10	0.00	112.73	0.01	0.31	0.00
TIGR00426	TIGR00426	"competence protein ComEA helix-hairpin-helix repeat region"	2	0.02	102.38	0.01	2.37	0.00	0.14	0.00	99.78	0.01	0.08	0.00
TIGR02008	fdx_plant	"ferredoxin [2Fe-2S]"	2	0.02	145.58	0.01	0.01	0.00	0.05	0.00	145.46	0.02	0.06	0.00
TIGR01521	FruBisAldo_II_B	"fructose-bisphosphate aldolase, class II, Calvin cycle subtype"	2	0.02	41.45	0.00	0.20	0.00	0.00	0.00	41.20	0.00	0.04	0.00
TIGR02357	ECF_ThiT_YuaJ	"energy-coupled thiamine transporter ThiT"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
TIGR04123	P_estr_lig_assc	"metallophosphoesterase, DNA ligase-associated"	1	0.01	190.91	0.01	0.01	0.00	0.44	0.00	190.05	0.02	0.40	0.00
TIGR00525	folB	"dihydroneopterin aldolase"	1	0.01	72.05	0.00	0.00	0.00	0.03	0.00	72.00	0.01	0.02	0.00
TIGR03048	PS_I_psaC	"photosystem I iron-sulfur protein PsaC"	1	0.01	72.17	0.00	0.00	0.00	0.02	0.00	72.14	0.01	0.01	0.00
TIGR01844	type_I_sec_TolC	"type I secretion outer membrane protein, TolC family"	1	0.01	190.91	0.01	0.01	0.00	0.44	0.00	190.05	0.02	0.40	0.00
TIGR00189	tesB	"acyl-CoA thioesterase II"	1	0.01	61.65	0.00	0.00	0.00	0.14	0.00	61.46	0.01	0.04	0.00
TIGR00055	uppS	"di-trans,poly-cis-decaprenylcistransferase"	4	0.04	173.07	0.01	10.39	0.01	4.08	0.00	157.33	0.02	1.26	0.00
TIGR03864	PQQ_ABC_ATP	"ABC transporter, ATP-binding subunit, PQQ-dependent alcohol dehydrogenase system"	1	0.01	204.63	0.01	0.01	0.00	0.65	0.00	203.32	0.02	0.64	0.00
TIGR03635	uS17_bact	"ribosomal protein uS17"	1	0.01	1814.06	0.12	325.55	0.25	585.16	0.27	14.02	0.00	889.33	0.29
TIGR01070	mutS1	"DNA mismatch repair protein MutS"	5	0.05	264.63	0.02	11.44	0.01	3.65	0.00	248.10	0.03	1.44	0.00
TIGR02607	antidote_HigA	"addiction module antidote protein, HigA family"	1	0.01	71.59	0.00	0.00	0.00	0.01	0.00	71.56	0.01	0.02	0.00
TIGR01143	murF	"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase"	2	0.02	232.82	0.01	0.91	0.00	0.48	0.00	230.92	0.03	0.51	0.00
TIGR01616	nitro_assoc	"nitrogenase-associated protein"	1	0.01	72.42	0.00	0.01	0.00	0.04	0.00	72.35	0.01	0.02	0.00
TIGR02643	T_phosphoryl	"thymidine phosphorylase"	1	0.01	215.66	0.01	0.02	0.00	0.52	0.00	214.71	0.02	0.41	0.00
TIGR01928	menC_lowGC/arch	"o-succinylbenzoate synthase"	2	0.02	39.20	0.00	0.12	0.00	0.15	0.00	37.16	0.00	1.77	0.00
TIGR01780	SSADH	"succinate-semialdehyde dehydrogenase"	1	0.01	215.66	0.01	0.02	0.00	0.52	0.00	214.71	0.02	0.41	0.00
TIGR00200	cinA_nterm	"competence/damage-inducible protein CinA N-terminal domain"	2	0.02	119.43	0.01	10.23	0.01	0.06	0.00	108.85	0.01	0.29	0.00
TIGR01464	hemE	"uroporphyrinogen decarboxylase"	4	0.04	306.81	0.02	0.06	0.00	3.63	0.00	300.53	0.03	2.59	0.00
TIGR01121	D_amino_aminoT	"D-amino-acid transaminase"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
TIGR00444	mazG	"MazG family protein"	3	0.03	138.46	0.01	0.91	0.00	0.23	0.00	137.12	0.01	0.21	0.00
TIGR02079	THD1	"threonine dehydratase"	3	0.03	310.84	0.02	7.89	0.01	4.13	0.00	297.47	0.03	1.35	0.00
TIGR00873	gnd	"6-phosphogluconate dehydrogenase (decarboxylating)"	1	0.01	89.86	0.01	0.35	0.00	0.52	0.00	88.59	0.01	0.41	0.00
TIGR01951	nusB	"transcription antitermination factor NusB"	3	0.03	158.37	0.01	18.34	0.01	18.03	0.01	116.76	0.01	5.25	0.00
TIGR02517	type_II_gspD	"type II secretion system protein D"	3	0.03	121.63	0.01	0.51	0.00	16.74	0.01	101.05	0.01	3.33	0.00
TIGR01573	cas2	"CRISPR-associated endonuclease Cas2"	1	0.01	72.80	0.00	0.00	0.00	0.01	0.00	72.76	0.01	0.02	0.00
TIGR00559	pdxJ	"pyridoxine 5'-phosphate synthase"	2	0.02	68.60	0.00	0.03	0.00	0.10	0.00	67.07	0.01	1.40	0.00
TIGR00777	ahpD	"alkylhydroperoxidase, AhpD family"	1	0.01	60.25	0.00	0.00	0.00	0.13	0.00	60.08	0.01	0.04	0.00
TIGR00518	alaDH	"alanine dehydrogenase"	2	0.02	204.61	0.01	0.21	0.00	0.45	0.00	203.51	0.02	0.44	0.00
TIGR01963	PHB_DH	"3-hydroxybutyrate dehydrogenase"	1	0.01	50.21	0.00	2.37	0.00	0.01	0.00	47.79	0.01	0.04	0.00
TIGR00216	ispH_lytB	"4-hydroxy-3-methylbut-2-enyl diphosphate reductase"	4	0.04	2003.84	0.13	298.42	0.23	564.46	0.26	285.79	0.03	855.17	0.28
TIGR00696	wecG_tagA_cpsF	"glycosyltransferase, WecB/TagA/CpsF family"	3	0.03	1863.85	0.12	285.44	0.22	590.60	0.27	88.76	0.01	899.05	0.30
TIGR00239	2oxo_dh_E1	"oxoglutarate dehydrogenase (succinyl-transferring), E1 component"	2	0.02	68.87	0.00	0.04	0.00	0.15	0.00	67.20	0.01	1.49	0.00
TIGR00475	selB	"selenocysteine-specific translation elongation factor"	1	0.01	78.70	0.01	7.86	0.01	0.06	0.00	70.54	0.01	0.25	0.00
TIGR01280	xseB	"exodeoxyribonuclease VII, small subunit"	4	0.04	346.04	0.02	20.19	0.02	44.25	0.02	223.63	0.02	57.97	0.02
TIGR02779	NHEJ_ligase_lig	"DNA ligase D, ligase domain"	1	0.01	41.89	0.00	1.18	0.00	0.06	0.00	40.37	0.00	0.28	0.00
TIGR04416	group_II_RT_mat	"group II intron reverse transcriptase/maturase"	2	0.02	38.36	0.00	0.10	0.00	0.10	0.00	38.06	0.00	0.10	0.00
TIGR02218	phg_TIGR02218	"phage conserved hypothetical protein BR0599"	1	0.01	216.75	0.01	0.12	0.00	0.65	0.00	215.33	0.02	0.66	0.00
TIGR02976	phageshock_pspB	"phage shock protein B"	2	0.02	116.93	0.01	0.03	0.00	0.23	0.00	116.60	0.01	0.08	0.00
TIGR01026	fliI_yscN	"ATPase, FliI/YscN family"	2	0.02	231.40	0.01	0.01	0.00	0.40	0.00	230.65	0.03	0.34	0.00
TIGR02999	Sig-70_X6	"RNA polymerase sigma factor, TIGR02999 family"	4	0.04	247.63	0.02	0.03	0.00	0.51	0.00	246.94	0.03	0.16	0.00
TIGR00212	hemC	"hydroxymethylbilane synthase"	3	0.03	237.53	0.02	0.25	0.00	4.37	0.00	231.60	0.03	1.31	0.00
TIGR00560	pgsA	"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase"	2	0.02	119.43	0.01	10.23	0.01	0.06	0.00	108.85	0.01	0.29	0.00
TIGR01001	metA	"homoserine O-succinyltransferase"	1	0.01	191.30	0.01	0.01	0.00	0.40	0.00	190.55	0.02	0.34	0.00
TIGR03137	AhpC	"peroxiredoxin"	1	0.01	21.24	0.00	0.00	0.00	0.00	0.00	21.23	0.00	0.00	0.00
TIGR01237	D1pyr5carbox2	"putative delta-1-pyrroline-5-carboxylate dehydrogenase"	1	0.01	69.50	0.00	0.00	0.00	0.02	0.00	69.46	0.01	0.02	0.00
TIGR01974	NDH_I_L	"proton-translocating NADH-quinone oxidoreductase, chain L"	3	0.03	293.88	0.02	0.92	0.00	0.81	0.00	290.59	0.03	1.56	0.00
TIGR02809	phasin_3	"phasin family protein"	1	0.01	21.24	0.00	0.00	0.00	0.00	0.00	21.23	0.00	0.00	0.00
TIGR00396	leuS_bact	"leucine--tRNA ligase"	3	0.03	379.26	0.02	0.34	0.00	1.24	0.00	376.84	0.04	0.84	0.00
TIGR00184	purA	"adenylosuccinate synthase"	4	0.04	2093.41	0.13	325.58	0.25	585.86	0.27	290.94	0.03	891.03	0.29
TIGR00686	phnA	"putative alkylphosphonate utilization operon protein PhnA"	1	0.01	22.08	0.00	0.00	0.00	0.00	0.00	22.07	0.00	0.01	0.00
TIGR02070	mono_pep_trsgly	"monofunctional biosynthetic peptidoglycan transglycosylase"	1	0.01	40.10	0.00	0.00	0.00	0.00	0.00	40.10	0.00	0.00	0.00
TIGR00080	pimt	"protein-L-isoaspartate O-methyltransferase"	2	0.02	105.07	0.01	0.54	0.00	0.58	0.00	103.42	0.01	0.54	0.00
TIGR00068	glyox_I	"lactoylglutathione lyase"	2	0.02	78.29	0.01	2.50	0.00	3.93	0.00	70.95	0.01	0.92	0.00
TIGR04398	SLAP_DUP	"SLAP domain"	1	0.01	105.89	0.01	7.76	0.01	0.08	0.00	97.75	0.01	0.29	0.00
TIGR01163	rpe	"ribulose-phosphate 3-epimerase"	3	0.03	253.26	0.02	2.38	0.00	0.40	0.00	250.10	0.03	0.38	0.00
TIGR00612	ispG_gcpE	"4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase"	2	0.02	246.98	0.02	0.79	0.00	0.54	0.00	245.08	0.03	0.57	0.00
TIGR00693	thiE	"thiamine-phosphate diphosphorylase"	3	0.03	285.02	0.02	0.01	0.00	0.44	0.00	284.21	0.03	0.36	0.00
TIGR00678	holB	"DNA polymerase III, delta' subunit"	1	0.01	54.97	0.00	0.04	0.00	0.13	0.00	54.73	0.01	0.07	0.00
TIGR00090	rsfS_iojap_ybeB	"ribosome silencing factor"	3	0.03	198.84	0.01	2.70	0.00	0.76	0.00	194.88	0.02	0.50	0.00
TIGR00392	ileS	"isoleucine--tRNA ligase"	2	0.02	77.96	0.00	3.27	0.00	0.06	0.00	74.41	0.01	0.22	0.00
TIGR00165	S18	"ribosomal protein bS18"	2	0.02	98.41	0.01	0.12	0.00	0.13	0.00	98.00	0.01	0.16	0.00
TIGR04519	MoCo_extend_TAT	"MoCo/4Fe-4S cofactor protein extended Tat translocation domain"	1	0.01	28.95	0.00	9.91	0.01	1.36	0.00	14.98	0.00	2.70	0.00
TIGR02021	BchM-ChlM	"magnesium protoporphyrin O-methyltransferase"	1	0.01	69.50	0.00	0.00	0.00	0.02	0.00	69.46	0.01	0.02	0.00
TIGR01424	gluta_reduc_2	"glutathione-disulfide reductase"	1	0.01	61.65	0.00	0.00	0.00	0.14	0.00	61.46	0.01	0.04	0.00
TIGR00372	cas4	"CRISPR-associated protein Cas4"	1	0.01	72.80	0.00	0.00	0.00	0.01	0.00	72.76	0.01	0.02	0.00
TIGR01838	PHA_synth_I	"poly(R)-hydroxyalkanoic acid synthase, class I"	1	0.01	21.24	0.00	0.00	0.00	0.00	0.00	21.23	0.00	0.00	0.00
TIGR03457	sulphoacet_xsc	"sulfoacetaldehyde acetyltransferase"	1	0.01	29.33	0.00	0.02	0.00	3.64	0.00	24.90	0.00	0.78	0.00
TIGR00361	ComEC_Rec2	"DNA internalization-related competence protein ComEC/Rec2"	2	0.02	77.96	0.00	3.27	0.00	0.06	0.00	74.41	0.01	0.22	0.00
TIGR03415	ABC_choXWV_ATP	"choline ABC transporter, ATP-binding protein"	1	0.01	191.30	0.01	0.01	0.00	0.40	0.00	190.55	0.02	0.34	0.00
TIGR00021	rpiA	"ribose 5-phosphate isomerase A"	1	0.01	25.68	0.00	0.12	0.00	0.11	0.00	25.33	0.00	0.13	0.00
TIGR00510	lipA	"lipoyl synthase"	2	0.02	205.03	0.01	0.01	0.00	0.42	0.00	202.61	0.02	2.00	0.00
TIGR03687	pupylate_cterm	"ubiquitin-like protein Pup"	1	0.01	50.96	0.00	4.85	0.00	3.43	0.00	42.25	0.00	0.43	0.00
TIGR01850	argC	"N-acetyl-gamma-glutamyl-phosphate reductase"	5	0.05	792.15	0.05	72.00	0.06	383.73	0.18	244.75	0.03	91.66	0.03
TIGR03346	chaperone_ClpB	"ATP-dependent chaperone protein ClpB"	2	0.02	62.33	0.00	7.81	0.01	1.10	0.00	51.01	0.01	2.40	0.00
TIGR00575	dnlj	"DNA ligase, NAD-dependent"	3	0.03	169.01	0.01	0.32	0.00	0.70	0.00	167.47	0.02	0.52	0.00
TIGR00064	ftsY	"signal recognition particle-docking protein FtsY"	2	0.02	96.64	0.01	0.91	0.00	0.17	0.00	95.36	0.01	0.20	0.00
TIGR02315	ABC_phnC	"phosphonate ABC transporter, ATP-binding protein"	1	0.01	12.91	0.00	0.21	0.00	0.00	0.00	12.65	0.00	0.04	0.00
TIGR02289	M3_not_pepF	"oligoendopeptidase, M3 family"	1	0.01	42.19	0.00	2.26	0.00	0.00	0.00	39.89	0.00	0.03	0.00
TIGR01362	KDO8P_synth	"3-deoxy-8-phosphooctulonate synthase"	1	0.01	195.59	0.01	0.01	0.00	0.42	0.00	194.83	0.02	0.33	0.00
TIGR00539	hemN_rel	"putative oxygen-independent coproporphyrinogen III oxidase"	2	0.02	122.32	0.01	0.36	0.00	4.13	0.00	116.57	0.01	1.27	0.00
TIGR02651	RNase_Z	"ribonuclease Z"	1	0.01	40.73	0.00	2.37	0.00	0.00	0.00	38.32	0.00	0.04	0.00
TIGR01146	ATPsyn_F1gamma	"ATP synthase F1, gamma subunit"	3	0.03	45.78	0.00	1.10	0.00	0.17	0.00	42.67	0.00	1.84	0.00
TIGR00832	acr3	"arsenical-resistance protein"	3	0.03	127.23	0.01	0.15	0.00	4.08	0.00	121.97	0.01	1.04	0.00
TIGR02281	clan_AA_DTGA	"clan AA aspartic protease, TIGR02281 family"	3	0.03	272.42	0.02	0.24	0.00	16.79	0.01	252.73	0.03	2.65	0.00
TIGR01392	homoserO_Ac_trn	"homoserine O-acetyltransferase"	2	0.02	87.94	0.01	0.12	0.00	0.28	0.00	87.39	0.01	0.15	0.00
TIGR00073	hypB	"hydrogenase accessory protein HypB"	1	0.01	72.42	0.00	0.01	0.00	0.04	0.00	72.35	0.01	0.02	0.00
TIGR00756	PPR	"pentatricopeptide repeat domain"	2	0.02	230.19	0.01	0.01	0.00	0.49	0.00	227.86	0.02	1.83	0.00
TIGR00016	ackA	"acetate kinase"	4	0.04	205.85	0.01	12.39	0.01	0.09	0.00	193.00	0.02	0.37	0.00
TIGR00017	cmk	"cytidylate kinase"	3	0.03	178.28	0.01	15.34	0.01	3.48	0.00	158.74	0.02	0.71	0.00
TIGR03304	OMP85_target	"outer membrane insertion C-terminal signal"	1	0.01	22.08	0.00	0.00	0.00	0.00	0.00	22.07	0.00	0.01	0.00
TIGR02679	TIGR02679	"TIGR02679 family protein"	1	0.01	89.86	0.01	0.35	0.00	0.52	0.00	88.59	0.01	0.41	0.00
TIGR02396	diverge_rpsU	"rpsU-divergently transcribed protein"	1	0.01	191.30	0.01	0.01	0.00	0.40	0.00	190.55	0.02	0.34	0.00
TIGR03319	RNase_Y	"ribonuclease Y"	2	0.02	119.43	0.01	10.23	0.01	0.06	0.00	108.85	0.01	0.29	0.00
TIGR02063	RNase_R	"ribonuclease R"	5	0.05	340.66	0.02	1.12	0.00	27.61	0.01	305.65	0.03	6.28	0.00
TIGR02283	MltB_2	"lytic murein transglycosylase"	1	0.01	29.33	0.00	0.02	0.00	3.64	0.00	24.90	0.00	0.78	0.00
TIGR03818	MotA1	"flagellar motor stator protein MotA"	2	0.02	69.27	0.00	0.03	0.00	3.61	0.00	64.88	0.01	0.76	0.00
TIGR00576	dut	"dUTP diphosphatase"	2	0.02	44.85	0.00	0.03	0.00	3.52	0.00	40.46	0.00	0.84	0.00
TIGR02745	ccoG_rdxA_fixG	"cytochrome c oxidase accessory protein CcoG"	1	0.01	28.95	0.00	9.91	0.01	1.36	0.00	14.98	0.00	2.70	0.00
TIGR02445	fadA	"acetyl-CoA C-acyltransferase FadA"	1	0.01	22.08	0.00	0.00	0.00	0.00	0.00	22.07	0.00	0.01	0.00
TIGR00737	nifR3_yhdG	"putative TIM-barrel protein, nifR3 family"	3	0.03	2072.41	0.13	283.06	0.22	587.78	0.27	302.71	0.03	898.85	0.30
TIGR01350	lipoamide_DH	"dihydrolipoyl dehydrogenase"	8	0.08	354.80	0.02	12.91	0.01	0.35	0.00	339.36	0.04	2.18	0.00
TIGR00183	prok_nadp_idh	"isocitrate dehydrogenase, NADP-dependent"	2	0.02	166.13	0.01	7.76	0.01	0.21	0.00	157.83	0.02	0.33	0.00
TIGR00676	fadh2	"methylenetetrahydrofolate reductase [NAD(P)H]"	2	0.02	41.45	0.00	0.20	0.00	0.00	0.00	41.20	0.00	0.04	0.00
TIGR01847	bacteriocin_sig	"bacteriocin-type signal sequence"	1	0.01	71.59	0.00	0.00	0.00	0.01	0.00	71.56	0.01	0.02	0.00
TIGR00828	EIID-AGA	"PTS system, mannose/fructose/sorbose family, IID component"	1	0.01	42.19	0.00	2.26	0.00	0.00	0.00	39.89	0.00	0.03	0.00
TIGR03461	pabC_Proteo	"aminodeoxychorismate lyase"	1	0.01	54.97	0.00	0.04	0.00	0.13	0.00	54.73	0.01	0.07	0.00
TIGR01510	coaD_prev_kdtB	"pantetheine-phosphate adenylyltransferase"	4	0.04	308.86	0.02	2.37	0.00	0.56	0.00	304.12	0.03	1.81	0.00
TIGR02228	sigpep_I_arch	"signal peptidase I"	1	0.01	17.44	0.00	0.00	0.00	0.01	0.00	17.42	0.00	0.01	0.00
TIGR02235	menA_cyano-plnt	"1,4-dihydroxy-2-naphthoate phytyltransferase"	1	0.01	73.16	0.00	0.00	0.00	0.01	0.00	73.10	0.01	0.04	0.00
TIGR00198	cat_per_HPI	"catalase/peroxidase HPI"	1	0.01	191.30	0.01	0.01	0.00	0.40	0.00	190.55	0.02	0.34	0.00
TIGR03753	blh_monoox	"beta-carotene 15,15'-monooxygenase, Brp/Blh family"	1	0.01	61.15	0.00	0.00	0.00	0.15	0.00	60.99	0.01	0.01	0.00
TIGR00060	L18_bact	"ribosomal protein uL18"	2	0.02	1827.19	0.12	325.55	0.25	585.18	0.27	25.72	0.00	890.74	0.29
TIGR01011	rpsB_bact	"ribosomal protein uS2"	3	0.03	310.73	0.02	10.23	0.01	0.46	0.00	299.41	0.03	0.63	0.00
TIGR00042	TIGR00042	"non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family"	1	0.01	30.93	0.00	0.03	0.00	3.52	0.00	26.54	0.00	0.84	0.00
TIGR00263	trpB	"tryptophan synthase, beta subunit"	6	0.06	2077.46	0.13	299.59	0.23	580.91	0.27	340.98	0.04	855.98	0.28
TIGR01189	ccmA	"heme ABC exporter, ATP-binding protein CcmA"	13	0.13	608.73	0.04	30.82	0.02	5.82	0.00	556.85	0.06	15.24	0.01
TIGR02099	TIGR02099	"TIGR02099 family protein"	1	0.01	66.58	0.00	0.06	0.00	0.34	0.00	65.19	0.01	0.98	0.00
TIGR00179	murB	"UDP-N-acetylenolpyruvoylglucosamine reductase"	1	0.01	25.63	0.00	0.02	0.00	3.34	0.00	21.51	0.00	0.75	0.00
TIGR02433	lysidine_TilS_C	"tRNA(Ile)-lysidine synthetase, C-terminal domain"	2	0.02	109.62	0.01	2.37	0.00	0.13	0.00	107.06	0.01	0.06	0.00
TIGR01286	nifK	"nitrogenase molybdenum-iron protein beta chain"	1	0.01	72.42	0.00	0.01	0.00	0.04	0.00	72.35	0.01	0.02	0.00
TIGR02962	hdxy_isourate	"hydroxyisourate hydrolase"	1	0.01	23.90	0.00	0.00	0.00	0.00	0.00	23.89	0.00	0.00	0.00
